Name,Total,HP,Attack,Defence,Sp_attack,Sp_defence,Speed,KMeans_Cluster,PCA1,PCA2,Agg_Cluster,DBSCAN_Cluster
Nidoking,505,81,102,77,85,75,85,2,1.0178024286770937,0.40036012227164663,0,0
Clefairy,323,70,45,48,60,65,35,0,-1.743232938986722,-0.360712559090441,1,0
Clefable,483,95,70,73,95,90,60,2,0.7848028928327304,-0.21197515874992803,0,0
Vulpix,299,38,41,40,50,65,65,0,-2.2321039472513675,0.48981552680883556,1,0
Mega Vulpix,299,38,41,40,50,65,65,0,-2.2321039472513675,0.48981552680883556,1,0
Ninetales,505,73,76,75,81,100,100,2,1.0221465440674198,0.5281673098849392,0,0
Mega Ninetales,505,73,67,75,81,100,109,2,0.9999161782017781,0.7269580126306926,0,0
Jigglypuff,270,115,45,20,45,25,20,0,-2.5329304816913507,-0.11102333512080458,1,-1
Wigglytuff,435,140,70,45,85,50,45,2,0.07427192602489238,0.08490311449765679,0,-1
Zubat,245,40,45,35,30,40,55,0,-3.1042139498394934,0.38363877098037424,1,0
Golbat,455,75,80,70,65,75,90,2,0.21336980219672694,0.4597417934788366,0,0
Oddish,320,45,50,55,75,65,30,0,-1.8203027189647334,-0.3798358779765332,1,0
Gloom,395,60,65,70,85,75,40,2,-0.6336543449767725,-0.465330923307686,0,0
Vileplume,490,75,80,85,110,90,50,2,0.8796803637576391,-0.45333399676501884,0,0
Paras,285,35,70,55,45,55,25,0,-2.3958005402078584,-0.6383793208289038,1,0
Parasect,405,60,95,80,60,80,30,2,-0.4517112162743369,-1.1383851299361818,0,0
Venonat,305,60,55,50,40,55,45,0,-2.0888363684230744,-0.2270796158556325,1,0
Venomoth,450,70,65,60,90,75,90,2,0.13849088239660273,0.889003418749746,0,0
Diglett,265,10,55,25,35,45,95,0,-2.9061261809289016,1.6058488138956157,1,0
Mega Diglett,265,10,55,30,35,45,90,0,-2.8993422433638942,1.3956595004138426,1,0
Dugtrio,425,35,100,50,50,70,120,2,-0.3780756353630813,1.584059912247547,0,0
Mega Dugtrio,425,35,100,60,50,70,110,2,-0.364507760233067,1.1636812852840006,0,0
Meowth,290,40,45,35,40,40,90,0,-2.4781404405230663,1.282994141124266,1,0
Mega Meowth,290,40,35,35,50,40,90,0,-2.4781477973962502,1.368257292118557,1,0
Mega Meowth X,290,50,65,55,40,40,40,0,-2.3632578613686017,-0.2627210950396672,1,0
Persian,440,65,70,60,65,65,115,2,-0.10843776049719477,1.337353442908882,0,0
Mega Persian,440,65,60,60,75,65,115,2,-0.10844511737037864,1.422616593903173,0,0
Psyduck,320,50,52,48,65,50,55,0,-1.8974798599107874,0.35148421140881814,1,0
Golduck,500,80,82,78,95,80,85,2,0.9461633561202589,0.41671537355035726,0,0
Mankey,305,40,80,35,35,45,70,0,-2.1812088333288706,0.7636452200159161,1,0
Primeape,455,65,105,60,60,70,95,2,0.18849384669700103,0.8180045218005321,0,0
Growlithe,350,55,70,45,70,50,60,0,-1.4246496515184177,0.5705887761922925,1,0
Arcanine,555,90,110,80,100,80,95,1,1.8037511718983148,0.6481353991536346,0,0
Poliwag,300,40,50,40,40,40,90,0,-2.325366197549984,1.192359054507295,1,0
Poliwhirl,385,65,65,65,50,50,90,0,-0.9531638304229489,0.653278023356539,0,0
Poliwrath,510,90,95,95,70,90,70,2,1.1563258781752217,-0.5973831163898334,0,0
Abra,310,25,20,15,105,55,90,0,-2.129661535935853,2.172020164828686,0,0
Kadabra,400,40,35,30,120,70,105,0,-0.7078399279203301,2.2046357458994557,0,0
Alakazam,500,55,50,45,135,95,120,1,0.8923548942073519,2.1491009750501746,0,0
Mega Alakazam,600,55,50,65,175,105,150,1,2.3993969765007863,2.747673294266612,2,-1
Machop,305,70,80,50,35,35,35,0,-2.0905520850175954,-0.33838145741352066,1,0
Machoke,405,80,100,70,50,60,45,2,-0.4903961299960542,-0.5829443885357432,0,0
Machamp,505,90,130,80,65,85,55,2,1.1208923564128526,-0.6280072513008119,0,0
Bellsprout,300,50,75,35,70,30,40,0,-2.202707065992052,0.4984487417007754,1,0
Weepinbell,390,65,90,50,85,45,55,0,-0.780885457976529,0.5310643227715449,0,0
Victreebel,490,80,105,65,100,70,70,2,0.819309364151153,0.4755295519222642,0,0
Tentacool,335,40,40,35,50,100,70,0,-1.5960184626886829,0.38392564204306057,1,0
Tentacruel,515,80,70,65,80,120,100,2,1.2412376572392647,0.5040997972485931,0,0
Geodude,300,40,80,100,30,30,20,0,-2.2392838888247297,-1.5387891173930102,1,0
Mega Geodude,300,40,80,100,30,30,20,0,-2.2392838888247297,-1.5387891173930102,1,0
Graveler,390,55,95,115,45,45,35,2,-0.8174622808092066,-1.5061735363222402,0,0
Mega Graveler,390,55,95,115,45,45,35,2,-0.8174622808092066,-1.5061735363222402,0,0
Golem,495,80,120,130,55,65,45,2,0.8778859339667385,-1.7039113448678944,0,0
Mega Golem,495,80,120,130,55,65,45,2,0.8778859339667385,-1.7039113448678944,0,0
Ponyta,410,50,85,55,65,65,90,2,-0.5366104185238,0.9210456975131537,0,0
Mega Ponyta,410,50,85,55,65,65,90,2,-0.5366104185238,0.9210456975131537,0,0
Rapidash,500,65,100,70,80,80,105,2,0.8852111894917232,0.9536612785839234,0,0
Mega Rapidash,500,65,100,70,80,80,105,2,0.8852111894917232,0.9536612785839234,0,0
Slowpoke,315,90,65,65,40,40,15,0,-1.8622056674264218,-1.1609194166794388,1,0
Mega Slowpoke,315,90,65,65,40,40,15,0,-1.8622056674264218,-1.1609194166794388,1,0
Slowbro,490,95,75,110,100,80,30,2,0.9085157184363664,-1.4664837492186484,0,0
Mega Slowbro,590,95,75,180,130,80,30,1,2.4139710147729017,-2.516045299119792,0,-1
Mega Slowbro X,490,95,100,95,100,70,30,2,0.9051818100720201,-1.0699683472012615,0,0
Magnemite,325,25,35,70,95,55,45,0,-1.8422205093648238,0.00922554548369197,1,0
Magneton,465,50,60,95,120,70,70,2,0.3491089565488889,0.15173519918835832,0,0
Farfetch'd,377,52,90,55,58,62,60,0,-0.9883084175259138,0.189361617605637,1,0
Mega Farfetch'd,377,52,95,55,58,62,55,0,-0.9759582142672238,0.0789223383024407,1,0
Doduo,310,35,85,45,35,35,75,0,-2.1523768237580865,0.7975683574332494,1,0
Dodrio,470,60,110,70,60,60,110,2,0.3509659584171699,1.081921165385864,0,0
Seel,325,65,45,55,45,70,45,0,-1.7408534323805802,-0.43302728184516787,1,0
Dewgong,475,90,70,80,70,95,70,2,0.6288492476452916,-0.3786679800605519,0,0
Grimer,325,80,80,50,40,50,25,0,-1.7054796720928904,-0.6866188010397031,1,0
Mega Grimer,325,80,80,50,40,50,25,0,-1.7054796720928904,-0.6866188010397031,1,0
Muk,500,105,105,75,65,100,50,2,1.1101560432133788,-0.8526353790552131,0,0
Mega Muk,500,105,105,75,65,100,50,2,1.1101560432133788,-0.8526353790552131,0,0
Shellder,305,30,65,100,45,25,40,0,-2.233187444900876,-0.8736248437494945,1,0
Cloyster,525,50,95,180,85,45,70,2,1.1544694771995254,-1.54458347625369,0,-1
Gastly,310,30,35,30,100,35,80,0,-2.1548988542825707,1.7826293739438985,0,0
Haunter,405,45,50,45,115,55,95,0,-0.6438906392109682,1.7711697790546432,0,0
Gengar,500,60,65,60,130,75,110,2,0.8671175758606344,1.7597101841653875,0,0
Mega Gengar,600,60,65,80,170,95,130,1,2.418892770116843,2.040138645293776,2,-1
Onix,385,35,45,160,30,45,70,0,-1.0604605325713805,-1.678656476243972,0,-1
Drowzee,328,60,48,45,43,90,42,0,-1.6415645488436936,-0.48747837275478956,1,0
Hypno,483,85,73,70,73,115,67,2,0.8073047070789686,-0.3859300216922251,0,0
Krabby,325,30,105,90,25,25,50,0,-1.930059588950994,-0.605542623651318,1,0
Kingler,475,55,130,115,50,50,75,2,0.4396430910748778,-0.551183321866702,0,0
Voltorb,330,40,30,50,55,55,100,0,-1.8561395865961205,1.2230791647103036,1,0
Electrode,490,60,50,70,80,80,150,2,0.6088960468256008,1.9596609979599156,0,0
Exeggcute,325,60,40,80,60,45,40,0,-1.8132501611847143,-0.6499976036368398,1,0
Exeggutor,530,95,95,85,125,75,55,2,1.4979233203727318,-0.11728686433680348,0,0
Mega Exeggutor,530,95,105,85,125,75,45,2,1.522623726890112,-0.338165422943196,0,0
Cubone,320,50,50,95,40,50,35,0,-1.9003835522136863,-1.2410811045683168,1,0
Marowak,425,60,80,110,50,80,45,2,-0.20547104600579072,-1.4726007529691332,0,0
Mega Marowak,425,60,80,110,50,80,45,2,-0.20547104600579072,-1.4726007529691332,0,0
Hitmonlee,455,50,120,53,35,110,87,2,0.2757277438331544,0.24221610697956716,0,-1
Hitmonchan,455,50,105,79,35,110,76,2,0.2739536093951216,-0.5194504852160644,0,0
Lickitung,385,90,55,75,60,75,30,2,-0.7319054926099922,-1.1351992603929772,0,0
Koffing,340,40,65,95,60,45,35,0,-1.607379210691518,-0.9613699512980322,1,0
Weezing,490,65,90,120,85,70,60,2,0.7623234693343537,-0.9070106495134163,0,0
Mega Weezing,490,65,90,120,85,70,60,2,0.7623234693343537,-0.9070106495134163,0,0
Rhyhorn,345,80,85,95,30,30,25,0,-1.4789531000201117,-1.4568717655546612,1,0
Rhydon,485,105,130,120,45,45,40,2,0.7370841292841648,-1.6205038214506784,0,0
Chansey,450,250,5,5,35,105,50,2,0.6042809783966574,-0.41980518414297857,0,-1
Tangela,435,65,55,115,100,40,60,2,-0.16309221428512782,-0.43770220198726667,0,0
Kangaskhan,490,105,95,80,40,80,90,2,0.8074006240755824,-0.09661340489224021,0,0
Mega Kangaskhan,590,105,125,100,60,100,100,1,2.3838909385955387,-0.20758980435882646,2,0
Horsea,295,30,40,70,70,25,60,0,-2.407549564623263,0.3706754084588733,1,0
Seadra,440,55,65,95,95,45,85,2,-0.12703349165347116,0.4691098862035144,0,0
Goldeen,320,45,67,60,35,50,63,0,-1.9373999568411266,0.05415867649130638,1,0
Seaking,450,80,92,65,65,80,68,2,0.21094586528910864,-0.0007922780071128451,0,0
Staryu,340,30,45,55,70,55,85,0,-1.6799713784990409,0.9713432730928432,1,0
Starmie,520,60,75,85,100,85,115,2,1.1636718375320054,1.0365744352343824,0,0
Mr. Mime,460,40,45,65,100,120,90,2,0.3404681149738877,0.5729045547126009,0,0
Mega Mr. Mime,460,50,65,65,90,90,100,2,0.26932255833580404,0.9579935543520087,0,0
Scyther,500,70,110,80,55,80,105,2,0.880919854958465,0.5198421795322109,0,0
Jynx,455,65,50,35,115,95,95,2,0.2663664759763905,1.5425387744578758,0,0
Electabuzz,490,65,83,57,95,85,105,2,0.7513482890414553,1.2831584966372254,0,0
Magmar,495,65,95,57,100,85,93,2,0.8601553527591017,1.0652932755875029,0,0
Pinsir,500,65,125,100,55,70,85,2,0.8812000951019511,-0.20248862170439413,0,0
Mega Pinsir,600,65,155,120,65,90,105,1,2.432997359977711,-0.17784961355887835,2,-1
Tauros,490,75,100,95,40,70,110,2,0.6803314804874914,0.27012582851945915,0,0
Magikarp,200,20,10,55,15,20,80,0,-3.968107912173721,0.6470982520620231,1,0
Gyarados,540,95,125,79,60,100,81,2,1.648851874215909,-0.21156135355131642,0,0
Mega Gyarados,640,95,155,109,70,130,81,1,3.258950126184458,-0.925444830457396,2,0
Lapras,535,130,85,80,85,95,60,2,1.6581641082226677,-0.5862513524765235,0,0
Ditto,288,48,48,48,48,48,48,0,-2.393602359355394,0.05067155267677351,1,0
Eevee,325,55,55,50,45,65,55,0,-1.783649535269271,-0.021443732901707535,1,0
Mega Eevee,435,65,75,70,65,85,75,2,-0.05987350925763392,0.05525106738204221,0,0
Vaporeon,525,130,65,60,110,95,65,2,1.509720066888985,0.12723099346510156,0,0
Jolteon,525,65,65,60,110,95,130,1,1.2604709638010905,1.8380366161214616,0,0
Flareon,525,65,130,60,95,110,65,2,1.4510836996419276,0.12853330946598895,0,0
Porygon,395,65,60,70,85,75,40,2,-0.6268315403056245,-0.48649207651651744,0,0
Omanyte,355,35,40,100,90,55,35,0,-1.362246883230359,-0.8677622574241523,1,0
Omastar,495,70,60,125,115,70,55,2,0.8550783952843399,-0.8780141894403448,0,0
Kabuto,355,30,80,90,55,45,55,0,-1.4273449259381525,-0.4064996476437438,1,0
Kabutops,495,60,115,105,65,70,80,2,0.801983616789244,-0.31081110476384777,0,0
Aerodactyl,515,80,105,65,60,75,130,2,1.0770039769292172,1.4339030187466426,0,0
Mega Aerodactyl,615,80,135,85,70,95,150,1,2.6288012418049775,1.4585420268921585,2,0
Snorlax,540,160,110,65,65,110,30,2,1.8991349791305856,-1.3884706224432226,0,-1
Articuno,580,90,85,100,95,125,85,1,2.2921886402487424,-0.4292813504276495,0,0
Mega Articuno,580,90,85,85,125,100,95,1,2.2340831965793737,0.5898000124014873,2,0
Zapdos,580,90,90,85,125,90,100,1,2.201700287875289,0.7975045911863399,2,0
Mega Zapdos,580,90,125,90,85,90,100,1,2.1961634496743416,0.3567019530305992,2,0
Moltres,580,90,100,90,125,85,90,1,2.210818075976289,0.5255086481421986,2,0
Mega Moltres,580,90,85,90,100,125,90,1,2.290967289940826,-0.07671042727015406,0,0
Dratini,300,41,64,45,50,50,50,0,-2.2107409276677075,0.19286040677401628,1,0
Dragonair,420,61,84,65,70,70,70,2,-0.31497878364701015,0.23634784820170898,0,0
Dragonite,600,91,134,95,100,100,80,1,2.5780652454187964,-0.14017810686953694,2,0
Mewtwo,680,106,110,90,154,90,130,1,3.727249529312553,1.6310871560581834,2,-1
Mega Mewtwo,780,106,190,100,154,100,130,1,5.319554790038227,1.4254712638354332,2,-1
Mega Mewtwo X,780,106,150,70,194,120,140,1,5.368287961080998,2.391372032527138,2,-1
Mew,600,100,100,100,100,100,100,1,2.53537921509842,0.1637389003887746,2,0
Chikorita,318,45,49,65,49,65,45,0,-1.900134833991244,-0.4715252905215756,1,0
Bayleef,405,60,62,80,63,80,60,2,-0.5258146428884318,-0.4501705088187169,0,0
Meganium,525,80,82,100,83,100,80,2,1.3699475011322655,-0.4066830673910241,0,0
Cyndaquil,309,39,52,43,60,50,65,0,-2.105795052107859,0.6660093234383047,1,0
Quilava,405,58,64,58,80,65,80,2,-0.5835145735919508,0.7297965259761182,0,0
Typhlosion,534,78,84,78,109,85,100,1,1.4547474070429691,0.8582242561041181,0,0
Totodile,314,50,65,64,44,48,43,0,-1.984646819165168,-0.3978386940189421,1,0
Croconaw,405,65,80,80,59,63,58,2,-0.548104413421705,-0.38426162502772737,0,0
Feraligatr,530,85,105,100,79,83,78,2,1.4268279849323748,-0.3362167098192318,0,0
Sentret,215,35,46,34,35,45,20,0,-3.4884809302752635,-0.3816709410259538,1,0
Furret,415,85,76,64,45,55,90,2,-0.43971780144003736,0.524664034803773,0,0
Hoothoot,262,60,30,30,36,56,50,0,-2.757779482880308,0.19933373530108356,1,0
Noctowl,452,100,50,50,86,96,70,2,0.3137007807635715,0.2832400508442526,0,0
Ledyba,265,40,20,30,40,80,55,0,-2.701843201903887,0.19782065334982846,1,0
Ledian,390,55,35,50,55,110,85,2,-0.7383976308563492,0.34800840539474637,1,0
Spinarak,250,40,60,40,40,40,30,0,-2.9688663017795274,-0.17848703493909013,1,0
Ariados,400,70,90,70,60,70,40,2,-0.5508364418408319,-0.667620983689445,0,0
Crobat,535,85,90,80,70,80,130,2,1.3938179977023595,1.1683521593787554,0,0
Chinchou,330,75,38,38,56,56,67,0,-1.7115070398686705,0.5842517160272361,1,0
Lanturn,460,125,58,58,76,76,67,2,0.43293325388043963,0.06813006855076136,0,0
Pichu,205,20,40,15,35,35,60,0,-3.764972374834392,1.0325272348247532,1,0
Cleffa,218,50,25,28,45,55,15,0,-3.38145529299847,-0.4451613031602355,1,0
Igglybuff,210,90,30,15,40,20,15,0,-3.5091837623814106,-0.0645954253272201,1,-1
Togepi,245,35,20,65,40,65,20,0,-3.007908519121606,-1.1246753337144797,1,0
Togetic,405,55,40,85,80,105,40,2,-0.43873364328942915,-1.0687323990150936,0,0
Natu,320,40,50,45,70,45,70,0,-1.9548563507722327,0.8762386014811896,1,0
Xatu,470,65,75,70,95,70,95,2,0.414846329253639,0.9305979032658055,0,0
Mareep,280,55,40,40,65,45,35,0,-2.4757286044847424,0.06033885516732883,1,0
Flaaffy,365,70,55,55,80,60,45,0,-1.1207270475439117,-0.022042316845900807,1,0
Ampharos,510,90,75,85,115,90,55,2,1.2044759134093304,-0.34551670646795934,0,0
Mega Ampharos,610,90,95,105,165,110,45,1,2.830344970344495,-0.6424607701644579,2,-1
Bellossom,490,75,80,95,90,100,50,2,0.8885952515620354,-0.9206256665924107,0,0
Marill,250,70,20,50,20,50,40,0,-2.9437149924656234,-0.551867065413078,1,0
Azumarill,420,100,50,80,60,80,50,2,-0.20901882893976537,-0.8522448170516391,0,0
Sudowoodo,410,70,100,115,30,65,30,2,-0.4278862000029785,-1.9842917055834681,0,0
Politoed,500,90,75,75,90,100,70,2,1.0402684239822153,-0.1342369247302064,0,0
Hoppip,250,35,35,40,35,55,50,0,-2.9950371828807523,0.09590171076289622,1,0
Skiploom,340,55,45,50,45,65,80,0,-1.6078897885625736,0.544425084956683,1,0
Jumpluff,460,75,55,70,55,95,110,2,0.28321201125932216,0.6262626345148211,0,0
Aipom,360,55,70,55,40,55,85,0,-1.3291542671902197,0.6279779491890253,1,0
Sunkern,180,30,30,30,30,30,30,0,-4.099788288974021,0.011532855391849998,1,0
Sunflora,425,75,75,55,105,85,30,2,-0.0767472096655794,-0.34983699381309885,0,0
Yanma,390,65,65,45,75,45,95,0,-0.8741134614791821,1.4290654403814012,0,0
Wooper,210,55,45,45,25,25,15,0,-3.580313601209071,-0.6914949341691258,1,0
Quagsire,430,95,85,85,65,65,35,2,-0.05606951746644547,-1.0645070636497374,0,0
Espeon,525,65,65,60,130,95,110,1,1.3098570630894828,1.5668058008972583,0,0
Umbreon,525,95,65,110,60,130,65,2,1.4764490306789202,-1.4888855790160993,0,-1
Murkrow,405,60,85,42,85,42,91,2,-0.6362227496338239,1.5498403528360187,0,0
Slowking,490,95,75,80,100,110,30,2,1.0020114289346465,-1.1597794425921564,0,0
Mega Slowking,490,95,65,80,110,110,30,2,1.0020040720614627,-1.0745162915978654,0,0
Misdreavus,435,60,60,60,85,85,85,2,-0.08027890280516391,0.6673171495430018,0,0
Unown,336,48,72,48,72,48,48,0,-1.633585574250565,0.29905486335878034,1,0
Wobbuffet,405,190,33,58,33,58,33,2,-0.30128893614976865,-1.1996382442230842,0,-1
Girafarig,455,70,80,65,90,65,85,2,0.20441236884959763,0.7806368785304322,0,0
Pineco,290,50,65,90,35,35,15,0,-2.350483379217037,-1.507166656562004,1,0
Forretress,465,75,90,140,60,60,40,2,0.387239244007332,-1.9287701567662574,0,0
Dunsparce,415,100,70,70,65,65,45,2,-0.29475908523177585,-0.5792119770588546,0,0
Gligar,430,65,75,105,35,65,85,2,-0.24275137023541332,-0.4879369410619665,0,0
Steelix,510,75,85,200,55,65,30,2,1.067696782360248,-3.3968960867263194,0,-1
Mega Steelix,610,75,125,230,55,95,30,2,2.677802391201981,-4.1960427146266905,0,-1
Snubbull,300,60,80,50,40,40,30,0,-2.161005071148478,-0.4170569783235397,1,0
Granbull,450,90,120,75,60,60,45,2,0.23020814577981583,-0.598736314110465,0,0
Qwilfish,440,65,95,85,55,55,85,2,-0.08219321798567976,0.18796974468418526,0,0
Scizor,500,70,130,100,55,80,65,2,0.9574564182532536,-0.762672191607667,0,0
Mega Scizor,600,70,150,140,65,100,75,1,2.5116890268716623,-1.3579118787828512,2,0
Shuckle,505,20,10,230,10,230,5,2,1.272401844553927,-6.30793909771906,0,-1
Heracross,500,80,125,75,40,95,85,2,0.9795926365070713,-0.13827988563358123,0,0
Mega Heracross,600,80,185,115,40,105,75,1,2.563200709588029,-1.1632745415341852,2,-1
Sneasel,430,55,95,55,35,75,115,2,-0.2548028367476268,1.1172560834789866,0,0
Teddiursa,330,60,80,50,50,50,40,0,-1.6906586030933541,-0.18083572551969468,1,0
Ursaring,500,90,130,75,75,75,55,2,1.0272483054545747,-0.3502862404270908,0,0
Slugma,250,40,40,40,70,40,20,0,-2.9441879658816994,-0.14357614056260995,1,0
Magcargo,430,60,50,120,90,80,30,2,-0.10041214077643927,-1.657808581477909,0,0
Swinub,250,50,50,40,30,30,50,0,-3.0246468540442026,0.23294992434339756,1,0
Piloswine,450,100,100,80,60,60,50,2,0.22593728616973924,-0.6303693754035085,0,0
Corsola,410,65,55,95,65,95,35,2,-0.36472177787804516,-1.4470660063220837,0,0
Mega Corsola,410,60,55,100,65,100,30,2,-0.3547442922614888,-1.6847268163358535,0,0
Remoraid,300,35,65,35,65,35,65,0,-2.274906465139657,1.0228643726052773,1,0
Octillery,480,75,105,75,105,75,45,2,0.71477721000543,-0.2701217815473283,0,0
Delibird,330,45,55,45,65,45,75,0,-1.8020395622564183,0.932000099640015,1,0
Mantine,485,85,40,70,80,140,70,2,0.8816393006593654,-0.5013225076061235,0,0
Skarmory,465,65,80,140,40,70,70,2,0.3195398343046582,-1.491603775999655,0,0
Houndour,330,45,60,30,80,50,65,0,-1.7506350412450684,1.0896337203199613,1,0
Houndoom,500,75,90,50,110,80,95,2,0.9458001975065791,1.3452500032570482,0,0
Mega Houndoom,600,75,90,90,140,90,115,1,2.4552849804158456,1.2386804761584944,2,0
Kingdra,540,75,95,95,95,95,85,2,1.5838263409257394,-0.010711748424033253,0,0
Phanpy,330,90,60,60,40,40,40,0,-1.680879655026042,-0.4953005646424714,1,0
Donphan,500,90,120,120,60,60,50,2,0.9594640946118038,-1.3404726046064308,0,0
Porygon2,515,85,80,90,105,95,60,2,1.2689306037150727,-0.4430046350888246,0,0
Stantler,465,73,95,62,85,65,85,2,0.37018999817185266,0.79427357917674,0,0
Smeargle,250,55,20,35,20,45,75,0,-3.043952384931546,0.6325741016123488,1,0
Tyrogue,210,35,35,35,35,35,35,0,-3.625847752968847,0.022404715748773105,1,0
Hitmontop,455,50,95,95,35,110,70,2,0.2709618030857647,-0.971177729751346,0,0
Smoochum,305,45,30,15,85,65,65,0,-2.0997421360994313,1.2628300802263377,1,0
Elekid,360,45,63,37,65,55,95,0,-1.3474801187355976,1.4634368147416847,0,0
Magby,365,45,75,37,70,55,83,0,-1.238673055017951,1.245571593691962,0,0
Miltank,490,95,80,105,40,70,100,2,0.7211905743020979,-0.23489741127941288,0,0
Blissey,540,255,10,10,75,135,55,2,2.0783205809597627,-0.29898585864054233,0,-1
Raikou,580,90,85,75,115,100,115,1,2.195822271805163,1.1457940469771353,2,0
Entei,580,115,115,85,90,75,100,1,2.2057910021190805,0.5391757458846491,2,0
Suicune,580,100,75,115,90,115,85,1,2.2691064255011875,-0.7162200353965322,0,0
Larvitar,300,50,64,50,45,50,41,0,-2.18179210065109,-0.186401981423356,1,0
Pupitar,410,70,84,70,65,70,51,2,-0.41967005877977726,-0.37290804616366174,0,0
Tyranitar,600,100,134,110,95,100,61,1,2.6205819475654284,-0.9398191220304555,2,0
Mega Tyranitar,700,100,164,150,95,120,71,1,4.174821913057021,-1.6203219601999312,2,0
Lugia,680,106,90,130,90,154,110,1,3.860376615636752,-0.7768523176292792,2,-1
Ho-oh,680,106,130,90,110,154,90,1,3.9542928404746065,-0.25008285942486747,2,-1
Celebi,600,100,100,100,100,100,100,1,2.53537921509842,0.1637389003887746,2,0
Treecko,310,40,45,35,65,55,70,0,-2.0820279441696448,0.9267268472979356,1,0
Grovyle,405,50,65,45,85,65,95,2,-0.6170130584748742,1.3969538733812825,0,0
