,title,description,date,tags,rating
26,The Witcher 3: Wild Hunt,"Об этой игре Одна из самых известных ролевых игр возвращается в версии для нового поколенияВы — Геральт из Ривии, наемный убийца чудовищ. Вы путешествуете по миру, в котором бушует война и на каждом шагу подстерегают чудовища. Вам предстоит выполнить заказ и найти Цири — Дитя Предназначения, живое оружие, способное изменить облик этого мира.Это издание включает такие нововведения, как предметы из сериала «Ведьмак» от Netflix (оружие, доспехи, костюмы), встроенный фоторежим и многое другое!Встречайте обновлённый мрачный фэнтезийный мир континента и многочисленные визуальные и технические улучшения в игре «Ведьмак 3: Дикая Охота». Наслаждайтесь повышенной детализацией, новыми модами, в разработке которых принимало участие игровое сообщество, трассировкой лучей в режиме реального времени и многими другими изменениями, разработанными с учётом безграничных возможностей современных компьютеров.Ведьмаков обучают с раннего детства, и они проходят мучительные мутации, чтобы получить сверхчеловеческую силу и ловкость. Люди им не доверяют, но только они стоят между человечеством и жестокими монстрами.• Станьте профессиональным охотником на чудовищ, чтобы учинить над теми кровавую расправу при помощи разнообразного арсенала улучшаемого оружия, алхимических зелий и боевой магии.• Выслеживайте множество необычных монстров — от диких зверей на горных перевалах до жутких сверхъестественных хищников в тёмных переулках густонаселённых городов.• Вкладывайте заработок в улучшение оружия и покупку брони или транжирьте в разных злачных местах, делая ставки на скачках, играя в карты и принимая участие в кулачных боях.«Ведьмак 3» задаёт новые стандарты размера, глубины и сложности игрового мира.• Странствуйте по фантастическому открытому миру: исследуйте древние развалины, пещеры и места кораблекрушений, торгуйте с купцами и краснолюдскими кузнецами в городах, ловите добычу на открытых равнинах, в горах и на море.• Заключайте сделки с вероломными военачальниками, коварными ведьмами и продажной знатью — и оказывайте им тёмные и опасные услуги.• Делайте выбор на грани добра и зла и несите ответственность за последствия.Заключите самый важный контракт в своей жизни и найдите Дитя Предназначения, ключ к спасению или гибели этого мира.• Посреди войны отыщите Дитя Предназначения, живое оружие немыслимой силы, появление которого было предсказано в старинных легендах эльфов.• Боритесь с жестокими правителями, дикими духами и скрытыми угрозами — ведь все вокруг одержимы идеей захватить мир!• Станьте хозяином своей судьбы в этом мире... который, вероятно, даже не стоит спасать.","18 May, 2015","Открытый мир, Ролевая игра, Глубокий сюжет, Атмосферная, Для взрослых, Фэнтези, Приключение, Для одного игрока, Нагота, Решения с последствиями, Отличный саундтрек, От третьего лица, Средневековье, Экшен, Несколько концовок, Ролевой экшен, Тёмное фэнтези, Магия, Мрачная, Песочница",10 / 10
27,The Elder Scrolls® Online,"Об этой игре Любая легенда где-то берет начало, и в The Elder Scrolls Online она начинается с вас. Впишите себя в историю Тамриэля, приняв участие в судьбоносных событиях, произошедших почти за 1000 лет до сюжета игры The Elder Scrolls V: Skyrim. Присоединяйтесь к миллионам игроков в этой многопользовательской ролевой игре и исследуйте огромный живой мир The Elder Scrolls, полный тайн и приключений.","22 May, 2017","Ролевая игра, MMORPG, Открытый мир, Фэнтези, Приключение, Для нескольких игроков, Исследования, Для одного игрока, ММО, Экшен, Кастомизация персонажа, Игрок против игрока, Игрок против ИИ, Проработанная вселенная, Глубокий сюжет, Выбери себе приключение, Разделение на классы, Магия, Ролевой экшен, Атмосферная",9 / 10
28,Once Human,"Об этой игре Выживание в дикой местностиВы пробуждаетесь посреди неизвестной местности. Вам предстоит бороться с жестокой природой, которая бросит против вас все, от чудовищ до нехватки еды. Звездная пыль повлияла не только на живые организмы, она также заразила почву и воду. Если вы будете есть загрязненную пищу и пить грязную воду, ваши очки рассудка начнут снижаться. Чем меньше у вас очков рассудка, тем меньше и очков жизни. Есть или не есть, вот в чем вопрос.Сражения с монстрамиСражайтесь с многочисленными противниками, которые когда-то были людьми. Бросайте вызов боссам из другого измерения, чтобы получить мощные предметы и снизить уровень загрязнения звездной пылью. Вы сражаетесь не только за себя, но и за все выжившие остатки человечества. Персонализация оружияОколо 100 чертежей огнестрельного оружия в семи категориях, которое можно находить и создавать самостоятельно. Каждая добыча может преподнести приятный сюрприз. Мы уже рассказали об аксессуарах и модах для оружия? Они делают игру еще разнообразнее, и если существующее оружие вас не устраивает, вы можете модифицировать его по своему желанию. Обустройство территорииИспользуйте территорию, чтобы построить свой личный дом. Вы можете придерживаться практичного стиля, запихнуть все необходимое в маленькую комнату или спроектировать настоящий особняк с верандой, кухней, гаражом и садом… Причем самое интересное — это то, что вы можете переместить территорию в любое время! Поиски истиныУзнайте правду о звездной пыли. Откуда она взялась, что ей нужно, в чем скрытые причины событий. Вам может показаться, что этот путь вам придется пройти в одиночку, но это не так. В новом мире есть несколько фракций, и хотя некоторые из них враждебны и опасны, другие могут оказать вам помощь и поддержку. Исследуйте поселения людей, узнавайте их истории и историю этого мира, или просто истребляйте монстров и боссов, оставаясь для выживших загадкой, — выбор за вами.","9 Jul, 2024","Для нескольких игроков, Бесплатная игра, Выживание, Симулятор выживания и крафтинга в открытом мире, Открытый мир, Хоррор, Кооператив, Стратегия, Шутер, Строительство базы, Постапокалипсис, Симулятор, Сетевой кооператив, Для одного игрока, MMORPG, Экшен, Приключение, Кастомизация персонажа, Ролевая стратегия, 3D",7 / 10
29,Tom Clancy's Rainbow Six® Siege,"Об этой игре “Один из лучших шутеров от первого лица, когда-либо созданных. 10\10” – GameSpotTom Clancy's Rainbow Six® Осада – элитный реалистичный тактический командный шутер, где побеждает сторона, которая лучше продумает и исполнит свой план. Вас ждут игры 5х5 и напряженная борьба штурмотряда и защитников на коротких дистанциях с разрушаемым окружением.Разрушение — основа игрового процесса Rainbow Six Осада.Касательно стратегии защиты игра предоставляет практически неограниченные возможности: оперативникам доступны всевозможные средства усиления стен и полов, ростовые щиты, колючая проволока, и многое другое.Атакующая сторона сможет захватить позицию противника с помощью разведывательных роботов, пробивных зарядов и других инструментов, используемых при штурме.Набирайте команду из опытнейших оперативников спецподразделений со всего мира. Используйте новейшие технологии выслеживания врага. Разрушайте стены, чтобы создать новые огневые позиции. Пробивайте бреши в полу и потолке и используйте их как новые точки входа. Применяйте оружие и устройства, доступные в снаряжении, чтобы изменить окружение, обнаружить врага, перехитрить его и устранить угрозу.Изучайте новые тактики и стратегии по мере развития Rainbow Six Осада. Изменяйте правила боя благодаря новым оперативникам, оружию и устройствам. Объединяйтесь с друзьями, исследуйте новые карты — станьте самыми опытными и опасными оперативниками.Сражайтесь с игроками из любой точки мира в рейтинговых играх. Соберите крепкую команду и присоединяйтесь к сообществу в рамках еженедельных турниров, или следите за успехами лучших из лучших в соревнованиях профессиональной лиги Rainbow Six.","1 Dec, 2015","Шутер от первого лица, Игрок против игрока, Киберспорт, Для нескольких игроков, Тактика, Шутер, Соревновательная, Сетевой кооператив, Экшен, Геройский шутер, Командная, Военные действия, Стратегия, От первого лица, Кооператив, Реализм, Война, Разрушения, Сложная, 3D",9 / 10
30,EA SPORTS FC™ 25,"Об этой игре Представляем Клубное сообщество — следующий этап лояльности в EA SPORTS FC™ 25. Доступно для всех поклонников игры, сыгравших в EA SPORTS FC™ 24 до 27 сентября 2024 г. и сыгравших в EA SPORTS FC™ 25 до 1 ноября 2024 г.*Члены Клубного сообщества FC 25 смогут получать различные привилегии в течение всего года, в т.ч. эмблему и форму, подчеркивающие статус их обладателя, а также награды в ваших любимых игровых режимах.Все Основатели вновь смогут получить эксклюзивные аксессуары Основателей.В этой игре предусмотрена дополнительная внутриигровая покупка виртуальной валюты, которую можно использовать для приобретения виртуальных внутриигровых предметов, в том числе отобранных случайным образом.","26 Sep, 2024","Спорт, Футбол, Симулятор, Контроллер, Для нескольких игроков, Киберспорт, Соревновательная, Локальный кооператив, Для всей семьи, Локальный мультиплеер, Для одного игрока, Сетевой кооператив, Игрок против игрока, Современность, Реализм, Кооператив, Саундтрек, Разделение экрана, Бесплатная игра, ЛГБТК+",6 / 10
31,Euro Truck Simulator 2,"Об этой игре Станьте королем европейских дорог — водителем грузовика, который доставляет важные грузы на немалые расстояния! Вас ждут десятки городов Великобритании, Бельгии, Германии, Италии, Нидерландов, Польши и не только. Испытайте свои умения, выносливость и скорость. Докажите, что готовы стать частью элитного сообщества дальнобойщиков!В игре вы сможете:Доставлять самые разнообразные грузы в 60+ европейских городов.Управлять своим бизнесом, который растет даже тогда, когда сами вы за рулем и доставляете груз.Создать свой парк грузовиков, покупать гаражи, нанимать водителей и повышать прибыльность компании.Настраивать грузовики на свой вкус: от технических характеристик до внешнего вида.Заменять на своих машинах фары, сигналы, проблесковые маячки, выхлопные системы и не только.Проехать по настоящим дорогам длиной в тысячи километров и увидеть сотни знаменитых мест и сооружений.World of Trucks («Мир грузовиков»)Попробуйте все возможности Euro Truck Simulator 2, вступив в онлайн-сообщество World of Trucks. Это наш центр для игроков-водителей со всего света, которым интересна игра Euro Truck Simulator 2 и будущие симуляторы грузовиков от SCS Software. Используйте встроенный в игру Фоторежим, чтобы сохранять лучшие моменты и делиться ими с тысячами любителей грузовиков.Добавляйте понравившиеся изображения в избранное и просматривайте их когда захотите.Обсуждайте снимки с другими игроками на портале World of Trucks.Смотрите тщательно отобранные снимки в обновляемой почти каждый день подборке от создателей игры. Ваш снимок тоже может в нее попасть!Загружайте в игру свой аватар и номерной знак.Скоро будут новые функции!Чтобы вступить в World of Trucks, просто войдите через учетную запись Steam на странице вступления.Регистрация в World of Trucks не обязательна и не требуется для игры.","12 Oct, 2012","Вождение, Транспорт, Симулятор, Открытый мир, Автосимулятор, Реализм, Поддержка модификаций, Расслабляющая, Исследования, Экономика, Иммерсивный симулятор, Менеджмент, Атмосферная, Для нескольких игроков, Контроллер, Для всей семьи, От третьего лица, Приключение, Казуальная игра, Инди",10 / 10
32,ELDEN RING,"Об этой игре НОВЫЙ ФЭНТЕЗИЙНЫЙ РОЛЕВОЙ БОЕВИК.Восстань, погасшая душа! Междуземье ждёт своего повелителя. Пусть благодать приведёт тебя к Кольцу Элден.• Огромный захватывающий мирОгромный мир с открытыми полями, множеством ситуаций и гигантскими подземельями, где сложные трёхмерные конструкции сочетаются воедино. Путешествуйте, преодолевайте смертельные опасности и радуйтесь успехам.• Создайте своего персонажаВы можете не только изменить внешность персонажа, но также комбинировать оружие, броню и предметы. Развивайте персонажа по своему вкусу. Наращивайте мышцы или постигайте таинства магии.• Эпическая драма, выросшая из мифаМногослойная история, разбитая на фрагменты. Эпическая драма, в которой мысли персонажей пересекаются в Междуземье.• Уникальный сетевой режим, приближающий вас к другим игрокамПомимо многопользовательского режима, в котором вы напрямую подключаетесь к другим игрокам и путешествуете вместе, есть асинхронный сетевой режим, позволяющий ощутить присутствие других игроков.","24 Feb, 2022","Похожа на Dark Souls, Открытый мир, Тёмное фэнтези, Ролевая игра, Сложная, Ролевой экшен, От третьего лица, Для нескольких игроков, Фэнтези, Для одного игрока, Сетевой кооператив, Экшен, Кооператив, Атмосферная, Игрок против игрока, Отличный саундтрек, Насилие, 3D, Кастомизация персонажа, Для всей семьи",9 / 10
33,FANTASY LIFE i: The Girl Who Steals Time,"Об этой игре Бонус предзаказа-----Преобразите свое приключение в Реверии с набором Нового искателя приключений!В этот особый набор входи Порхающий талисман — аксессуар увеличивающий получаемый вами опыт, и 9 типов полезных расходуемых предметов, чтобы помочь вам в ваших приключениях!-----Этот бонус доступен только для тех, кто приобретет набор до 21 мая 2025 года до 14:59 (GMT).Погрузитесь в эту неторопливую RPG, где вы сможете свободно переключаться между 14 уникальными профессиями - «Жизнями,» и наслаждаться беззаботным существованием в фэнтезийном мире.Рыбачьте, готовьте, создавайте остров как вам захочется, или объединяйтесь с друзьями для сражений с монстрами в огромном мире.Вам решать, какой «Жизнью» вы будете жить!■Дракон приводит вас на загадочный островВы — искатель приключений, отправившийся в экспедицию с археологом Эдвардом и его командой.Следуя за светом, исходящим от окаменелости дракона, вы обнаруживаете незведанный и необитаемый остров.Огромная бездна, костяной дракон, и послание девушки, которая умоляет вас спасти мир...Перемещайтесь между процветавшим 1000 лет назад и современным островом, чтобы раскрыть тайну его падения!■14 уникальных «Жизней», которые преобразят вашуВ этом мире «Жизнь» -профессия.Каждая из них уникальна и предлагает разные способы проведения времени.Собирайте ингредиенты или материалы с Собирателями жизней, создавайте оружие или готовьте еду с Ремесленными жизнями, или сражайтесь с монстрами в Боевых жизнях. Вы можете переключаться между жизнями в любой момент, создавая уникальную для вас жизнь.■Создавайте остров! Постройте свой город!Используйте свои «Жизни» для сбора материалов и верните острову его былую славу!Вы можете не только строить дома и объекты, но и изменять ландшафт и прокладывать реки и дорогидля создания поистине уникального острова.Расширяйте свой дом, расставляйте мебель и украшайте интерьер как вам захочется!■Исследуйте открытый мир!Свободно изучайте самый большой континент в серии!Забирайтесь на скалы, переплывайте реки и озера или ездите верхом — эти новые действия помогут вам изучать мир без ограничений!■Бесконечное веселье с друзьями!Играйте в мультиплеер до 4 игроков!Приглашайте друзей на свой остров, изучайте подземелья или находите свои собственные способы веселиться вместе!Если у вас есть два контроллера, вы можете также использовать функцию семейной кооперативной игры на 2 игроков, где один из вас может присоединиться к приключениям без необходимости подключения по сети!","21 May, 2025","Ролевая игра, Экшен, Казуальная игра, Японская ролевая игра, Приключенческий экшен, Градостроение, Исследования, Партийная ролевая игра, 3D, Милая, От третьего лица, Фэнтези, Игрок против ИИ, Кастомизация персонажа, Открытый мир, Сетевой кооператив, Для одного игрока, Для нескольких игроков, Крафтинг, Кооператив",9 / 10
34,The Last of Us™ Part II Remastered,"Об этой игре В этом издании: Одни из нас: Часть II. Обновленная версия ИСТОРИЯ ЭЛЛИ И ЭББИ ТЕПЕРЬ НА PC «Одни из нас: Часть II», снискавшая более 300 наград как «Игра года», получила ряд технических улучшений, и ее обновленная версия – лучший способ познакомиться с историей Эбби и Элли, влюбившей в себя сотни критиков. Спустя пять лет после страшного путешествия по охваченной эпидемией Америке Элли и Джоэл осели в Джексоне, штат Вайоминг. Обосновавшись в процветающей общине, они обрели желанную стабильность, несмотря на постоянную угрозу нападения зараженных и теряющих смысл жизни выживших. Но однажды жестокие события разрушают эту идиллию, и Элли снова отправляется в изнуряющее путешествие, чтобы восстановить справедливость и обрести внутренний покой.Новые функции «Одни из нас: Часть II. Обновленная версия» выводит оригинальную игру на совершенно новый уровень и включает следующие возможности на PC: Целый ряд графических улучшений, оживляющих этот прекрасный и опасный мир. Полная поддержка контроллера PlayStation® DualSense с тактильной обратной связью и адаптивными триггерами.¹ Замечательные достижения в Steam, которые можно зарабатывать и собирать. Поддержка широких и ультрашироких экранов². Поддержка HDR³. Дисплей PC и меню настройки графики для масштабируемости. Поддержка DirectStorage. Оптимизированная графика на PC Повышенная производительность при поддержке NVIDIA DLSS 3, AMD FSR 3.1 and AMD FSR 4.0 с алгоритмом сглаживания и улучшенной генерацией кадров. Также поддерживается Intel XeSS⁴. Полная поддержка геймпада Настройте команды управления по-своему для плавного и интуитивного игрового процесса. Настройка мыши и клавиатуры Возьмите все в свои руки и персонализируйте игровой процесс, настроив мышь и клавиатуру сообразно своему игровому стилю. Интерфейс PlayStation® и поддержка призов Для игроков с привязанной учетной записью для PlayStation Network на Windows PC доступен интерфейс PlayStation®, обеспечивающий доступ к списку друзей, настройкам и игровому профилю, а также возможность получать призы PlayStation. «Без возврата» – режим выживания в стиле «роглайк» Выживайте как можно дольше в серии случайных столкновений с разнообразными противниками, пробуйте различных персонажей игры, обладающих уникальными особенностями, и любуйтесь живописными локациями в новом антураже. Кульминацией режима станут напряженные битвы с боссами. Включены два новых разблокируемых персонажаИспытания на четырех новых разблокируемых картах Новые способы игрыС головой окунитесь в любимое приключение и узнайте, как создавалась оригинальная игра. Режим утраченных эпизодов позволяет пройти ранние версии трех новых эпизодов, которых не было в оригинальной игре. Новые комментарии разработчиков расскажут о работе над «Одни из нас: Часть II» прямо по ходу игры. Раскройте свой музыкальный потенциал в режиме «Свободная игра на гитаре», который включает новые инструменты, или сыграйте в новом режиме «Прохождение на скорость»², а затем поделитесь лучшими результатами. Вторая часть игры получила расширенные специальные возможности, в том числе аудио-описательное комментирование³ и преобразование звука в вибрацию¹. В обновленной версии игры вы также сможете получить новые костюмы и окраски оружия для Элли и Эбби.[/list]¹Для полноценной работы контроллера DualSense требуется проводное подключение.²Требуются совместимый PC и дисплей.³Требуются совместимый PC и дисплей с поддержкой HDR.⁴Требуются совместимый PC и видеокарта. ⁵Можно разблокировать в процессе прохождения игры.⁶Доступно только для языков с поддержкой аудио.","3 Apr, 2025","Глубокий сюжет, Постапокалипсис, Шутер от третьего лица, ЛГБТК+, Приключенческий экшен, От третьего лица, Экшен, Хоррор, Стелс, Реализм, Эмоциональная, Драма, Для одного игрока, Атмосферная, Триллер, Выживание, Приключение, Хоррор на выживание, Мрачная, Сиквел",9 / 10
35,Last Epoch,"Об этой игре В игре Last Epoch вас ждут путешествия во времени, захватывающие подземелья, увлекательная настройка персонажей и бесконечные возможности повторного прохождения. Эта игра в жанре «ролевой экшен» понравится как опытным игрокам, так и новичкам. Путешествуйте в прошлое мира Этерры, сталкиваясь с темными империями, гневными богами и девственными землями, найдите способ спасти само время от Пустоты.Основные возможности15 путей развития персонажаНачните свое приключение одним из пяти могущественных классов, а в процессе путешествия развивайте персонажа по уникальному пути, получая более специфические способности и возможности.Более 120 вариантов дерева навыковУ каждого навыка есть дерево развития, позволяющее направлять свой игровой стиль в нужное русло, изменять его и расширять свои возможности. Превратите скелетов в лучников, а Взрыв молнии — в Цепную молнию, наделите Удар змея возможностью призывать змей, которые будут сражаться вместе с вами!Добывайте редкие предметы, наделенные могущественными способностямиСоберите целый арсенал волшебных предметов, которые вы можете довести до совершенства с помощью ремесла, меняйте характеристики персонажа и навыков с помощью могущественных уникальных предметов и предметов из наборов. Благодаря тщательно проработанной, случайной системе выпадения предметов в игре Last Epoch улучшения не заставят себя долго ждать.Эффективная система ремеслаВы можете менять свойства своих предметов! Получившая положительные отклики сообщества система ремесла в игре Last Epoch позволяет вам развивать возможности персонажа по своему усмотрению. В ее основе функциональные механики улучшения свойств с предсказуемыми результатами.Раскройте тайны прошлого, измените будущееПутешествуя в различные моменты времени, вы откроете для себя множество фракций и тайн мира Этерры, и будете сражаться за то, чтобы направить хрономиражи по новому пути.Бесконечные возможности повторного прохожденияИгра Last Epoch отличается широким выбором классов и навыков, которые можно подгонять под свои предпочтения, проработанными игровыми системами, случайным выпадением предметов и постоянным развитием. Вам захочется возвращаться сюда снова и снова.Легко освоиться, сложно достичь вершин мастерстваМы стремимся сделать игровой процесс доступным как для новичков, так и для опытных игроков, позволяя быстро погрузиться в игру и предоставляя множество внутриигровых ресурсов. Однако не стоит обманываться: в Этерре вас подстерегает множество опасностей, требующих мастерства в бою и тщательного подбора навыков персонажа.Никаких преимуществ за деньгиВ игре Last Epoch вы не сможете получить преимущества за реальные деньги. Мы создаем равные условия для всех игроков.","21 Feb, 2024","Ролевой экшен, Лут, Слэшер, Ролевая игра, Изометрия, Для нескольких игроков, Экшен, Кооператив, Приключение, Вид сверху, Подземелья, Инди, Для одного игрока, Фэнтези, Сцены жестокости, Кастомизация персонажа, MMORPG, Магия, Насилие, Путешествия во времени",7 / 10
36,Blue Prince,"Об этой игре Добро пожаловать в таинственный особняк Маунт-Холли, где все комнаты – не то, чем кажутся на первый взгляд. В игре Blue Prince, сочетающей элементы стратегии и головоломки, вы отправитесь в удивительное и непредсказуемое путешествие, полное тайн и загадок. Удастся ли вам добраться до легендарной комнаты номер 46?Подходя к очередной закрытой двери в особняке Маунт-Холли, вы сами решаете, какая комната будет ждать вас за ней. Но имейте в виду, что каждый сделанный выбор определяет дальнейшее развитие сюжета и ваш путь по особняку. Каждая комната за каждой новой открытой дверью будет предлагать вам новый набор головоломок и тайн. При планировании маршрута учитывайте, что с рассветом расположение комнат изменяется случайным образом. Так что некоторых из них может уже не быть на месте.Ваш ежедневный прогресс будет зависеть от выбранных комнат и тех инструментов, которые вы найдете внутри. Найденные в игре предметы помогут вам в освоении комнат и решении головоломок. При этом использовать их вы сможете самыми неожиданными способами. Иногда для преодоления препятствий придется придумывать что-то совсем необычное. Однако не забывайте об осторожности – каждое утро положение помещений изменяется, и на месте остаются только ключевые комнаты на плане особняка. И то если у вас хватит смекалки их обнаружить.Вы получили в наследство таинственный особняк Маунт-Холли, и теперь вам предстоит исследовать его вечно меняющиеся коридоры и добраться до таинственной комнаты номер 46. Но чем дальше вы забираетесь в него, тем отчетливее понимаете, что дело гораздо серьезнее, чем просто поиски какой-то комнаты. Окунитесь в историю о шантаже, политических интригах и непонятном исчезновении автора детских книжек. И помните – в этом доме прошлое может напрыгнуть на вас из-за каждого угла.","10 Apr, 2025","Головоломка, Исследования, Тайна, Расследования, Для одного игрока, Глубокий сюжет, Упрощённый рогалик, От первого лица, Инди, Приключение, Атмосферная, 3D, Квест-комната, Симулятор, Нелинейная, Редактор уровней, Стратегия, Рогалик, Стилизация, Реиграбельность",9 / 10
37,NBA 2K25,"Об этой игре Управляйте каждой площадкой с аутентичностью и реализмом благодаря технологии ProPLAY™, которая дает вам полный контроль над вашей игрой в NBA 2K25. Создайте свое наследие в режимах MyCAREER, MyTEAM, MyNBA и The W. Проявите себя с помощью множества вариантов настройки и исследуйте совершенно новый режим The City, богатый возможностями.  РАБОТАЕТ НА ОСНОВЕ ProPLAY™  Оживите свою игру с помощью ProPLAY™, захватывающей технологии, которая напрямую преобразует видеоматериалы NBA в увлекательный игровой процесс. Познакомьтесь со своими любимыми суперзвездами NBA поближе и погрузитесь в захватывающие моменты, поскольку ProPLAY™ обеспечивает самый аутентичный опыт игры в NBA на сегодняшний день.  СОРЕВНУЙТЕСЬ В РЕЖИМЕ THE CITY  The City – это идеальный испытательный полигон; отправляйтесь в парк, чтобы поиграть в стритбол и посоревноваться на новых разнообразных площадках. Отдайте дань уважения легендам баскетбола в режиме MyCAREER, ведь вы превзошли их рекорды и положили начало величайшей династии всех времен. Позвольте своим талантам засиять в шумном City и прославьте свое имя среди великих игроков.  СОЗДАЙТЕ СВОЮ ДИНАСТИЮ  Создайте величайшую династию всех времен и переосмыслите, что значит быть лучшим генеральным менеджером в режиме MyNBA. Пройдите уникальные испытания по управлению фронт-офисом NBA и оцените высшую награду в виде победы в одном или нескольких чемпионатах. Выбирайте из шести эпох, включая одну абсолютно новую, и станьте следующим властителем дум, который навсегда изменит игру.   ВАШ MyTEAM, ВАШ ПУТЬ  Соревнуйтесь с составами соперников, собрав свою лучшую за все время команду в MyTEAM, и сразитесь с другими элитными игроками в еженедельном турнире King of the Court. Сразитесь лицом к лицу и докажите, что вы заслуживаете звания лучшего из лучших на этом эксклюзивном мероприятии. Собирайте новые карты, овладевайте основами и получайте отличные награды.   СТАНЬТЕ ЛЕГЕНДОЙ WNBA  Стремитесь к статусу G.O.A.T. в режиме The W и создавайте легендарные моменты в течение своей карьеры. Почитайте выдающихся игроков прошлого и настоящего, поднимаясь к высшему уровню и внося свое имя в книгу рекордов. Возглавьте новое поколение звезд WNBA и сразитесь с талантами мирового уровня в режиме The W Online.  Режимы Play Now, MyNBA и MyLEAGUE доступны офлайн. Для всех прочих режимов и функций игры требуется подключение к Интернету и может потребоваться онлайн-регистрация учетной записи (для детей старше 13 лет).","28 Oct, 2024","Спорт, Баскетбол, Симулятор, Киберспорт, 3D, Контроллер, Менеджмент, Игрок против игрока, Кастомизация персонажа, Иммерсивный симулятор, Командная, Торговля, Кооператив, Локальный кооператив, Для нескольких игроков, Локальный мультиплеер, Сетевой кооператив, Для одного игрока, Локальная игра на четверых, Азартная",6 / 10
