text,processed_text
"У нас реально такие мужики что не могут потерпеть во время командировки, как животные себя ведут? Что за товарищи такие, для которых норма вызывать проституток?... Это какая вообще прослойка интеллектуальная и социальная?",реально мужик мочь потерпеть время командировка животное вести товарищ который норма вызывать проститутка это вообще прослойка интеллектуальный социальный
"Жене не показывайте, что вы её вызывали не потому, что вы романтик любите и скучаете, а потому что она выгоднее шлюхи оказалась.",жена показывать её вызывать романтик любить скучать выгодный шлюха оказаться
Странные какие-то у вас коллеги.,странный коллега
"Я, конечно, могу пойти сразу нахер со своими непрошенными советами, но тебе не помешало бы похудеть чутка, мужик) Жена у тебя красотка такая, теряешься на её фоне) Немного скинуть лишний вес и уже расцветёшь.Дада, иду нахер, помню, знаю.",мочь пойти сразу нахер свой непрошенный совет помешать похудеть чуткий мужик жена красотка теряться её фон немного скинуть лишний вес расцвести дада идти нахер помнить знать
"Есть какое-то ощущение нереальности, когда читаю как в комментариях хвалят человека за то, что он, будучи женатым, не снял проститутку. Как будто это что-то особенное, целый ""поступок"".И если бы мне коллеги такое рекомендовали при условии, что я женат, были бы посланы лесом. Это ж блин базовое самоуважение. Совсем, ну совсем базовое",ощущение нереальность читать комментарий хвалить человек женатый снять проститутка это особенный целый поступок коллега рекомендовать условие женатый послать лес это блин базовый самоуважение базовый
Правильно сделали! К черту сарказм и прочее. Нужно поддерживать такие семьи.,правильно сделать черта сарказм прочее нужно поддерживать семья
"Отличный гайд на тему ""жена из белоруссии дешевле проститутки"".Жене обязательно линкани",отличный гайда тема жена белоруссия дешёвый проститутка жена обязательно линкани
"Молодцы, но белорусов я немного иначе представлял",молодец белорус немного иначе представлять
"Мде. Звучит как ""зачем мне проститутка, если жена в те же деньги"".",мде звучать проститутка жена деньга
"Молодец, алиби и образ верного мужа создал. В следующие выходные по проституткам?",молодец алиби образ верный муж создать следующий выходной проститутка
"Молодец, всё правильно сделал.",молодец всё правильно сделать
"Вообще то это нормально проводить время с близким человеком, а не хрен пойми с кем.Те кто спрашивал про проституток не нашли своего человека",вообще это нормально проводить время близкие человек хрен понять спрашивать проститутка наслать свой человек
"респект и уважение вам, автор! достойно!я никогда не пользовался платными услугами женщин и не понимаю зачем это нужно. я привыкаю быстро особенно когда такая близкая связь. Тоже предпочитаю стабильные понятные отношения. Сейчас я в разводе но с кем попало как попало не готов, не могу я так! и понимаю вас!!!!",респект уважение автор достойно пользоваться платный услуга женщина понимать это нужно привыкать быстро особенно близкий связь предпочитать стабильный понятный отношение развод попасть попасть готовый мочь понимать
"Вспомнился Вячеслав Гаврилович, который был горд тем, что отказал Жанне Фриске, и тотчас поведал миру об этом...",вспомниться вячеслав гаврилович который гордый отказать жанна фриска тотчас поведать мир
"Чувак. Посыл поста хороший но звучит так, как будто ты сэкономил😐",чувак посыл пост хороший звучать сэкономить
"Такая же история. Сейчас во Владике в долгосрочной командировке, тоже на стройке. Недавно жена с дочкой прилетали на неделю.",история владик долгосрочный командировка стройка недавно жена дочка прилетать неделя
Действительно недорого.Ваша жена свободна в эту пятницу?,действительно недорого ваш жена свободный пятница
пиздец какой-то,пиздец
"Мужик молодец! Снимать, простите, ""проститутку"" - иметь низкую планку и самооценку и жить без удовольствия. Настоящая любовь и семья это куда дороже и сложнее. Не каждый в жизни может морально дорасти до такого уровня и поддерживать его. Так что берите своих жён с собой в отпуск, на выходные, на концерты, на дачу, это сближает 100%.",мужик молодец снимать простить проститутка иметь низкий планка самооценка жить удовольствие настоящий любовь семья это дорогой сложный каждый жизнь морально дорастить уровень поддерживать брать свой жена отпуск выходной концерт дача это сближать
То-есть последний раз секс с женой в таком формате был 8 лет назад?,последний секс жена формат год назад
"ТСу уже заботливо рассказали, что он переплатил? Комменты не читала.",тсу заботливо рассказать переплатить коммент читать
"Сейчас командировочные не снимают проституток,дорого. Они сидят на сз. Знакомятся на время командировки. Очень много таких.",командировочный снимать проститутка дорого сидеть сз знакомиться время командировка очень
Вот! А с проституткой ещё и секс был бы! За те же деньги! ))),проститутка ещё секс деньга
"У жены бывают командировки на 2 месяца, тоже приезжаю к ней на выходные: и время с человеком провезти и город посмотреть.",жена бывать командировка месяц приезжать выходной время человек провезти город посмотреть
"""За цены сорян"" - а чё ты извиняешься, это ты с ними что-то сделал?",цена сорянин извиняться это сделать
"С одной стороны конечно круто, а с другой отправить жену одну на блаблакаре через такое расстояние. Я бы не стал так рисковать её безопасностью.",сторона круто отправить жена блаблакар расстояние стать рисковать её безопасность
Вызвал проститутку.Приехала жена.,вызвать проститутка приехать жена
14 комментов за 6 лет. С силой воли и выдержкой все в порядке. Держи лучи,коммент год сила воля выдержка порядок держать луч
Разъеби этот рак ебаный,разъести рак ёбаный
"Сил и удачи, сестра по несчастью, только вчера объявили мне ремиссию. Желаю и тебе услышать этот вердикт, но уже окончательно и без апелляций!",сила удача сестра несчастие вчера объявить ремиссия желать услышать вердикт окончательно апелляция
"Тут ситуация простая, 6 лет он возвращается, 6 лет вы его побеждаете. Кто-то бы сломался на 2м, 3м году, но вы дЕржитесь.",ситуация простой год возвращаться год побеждать сломаться м м год держаться
"Фига ты мощная! Столько бороться! Ты не одна, мы за тебя з а тебя! Обнимаю крепко. Всё будет хорошо!",фига мощный столько бороться з обнимать крепко всё
Живи долго.,живить долго
"Истинная свобода — это понимание того, что вы не есть ваше страдание. Осознание приносит ясность, а с ясностью приходит покой.Вы — не ваши страхи, не ваша боль, не болезнь. Всё это приходит и уходит. Но то, что в вас наблюдает — неизменно, полно силы и мира.""Вы есть больше, чем тело, больше, чем диагноз, больше, чем борьба.И даже если нет готовых ответов — есть Жизнь, которая дышит в вас каждую минуту.Вы не одни. Ваше мужество — вдохновение для других.Вы — свет, который продолжает светить, даже когда ночь кажется бесконечной.Пусть в этот раз новая химия принесёт облегчение.Пусть ваш дух найдёт опору, даже когда тело устало.И пусть каждый прожитый день будет подтверждением: вы сильнее, чем думаете.💛 С любовью, уважением и глубоким человеческим участием — свет вам, тепло и поддержка.",истинный свобода это понимание ваш страдание осознание приносить ясность ясность приходить покой ваш страх ваш боль болезнь всё это приходить уходить наблюдать неизменно полно сила мир тело диагноз борьба готовый ответ жизнь который дышать каждый минута ваш мужество вдохновение свет который продолжать светить ночь казаться бесконечный пусть новый химия принести облегчение пусть ваш дух найти опора тело устало пусть каждый прожить день подтверждение сильный думать любовь уважение глубокий человеческий участие свет тепло поддержка
"Все будет нормально тем более химия новая. А пока история. Со мной в онкологии в хирургии лежал один перец у него был рак гортани поставили трубку в горло (забыл как называеться эта штука), лежали мы в двоем. Я в первый день весь на панике сидел, тем более в хирургии насмотрелся, а этот друг говорить не может только мычал (ыгы или эввееаае) еще больше мне паники нагнал. Ну думаю ладно протяну как нибудь. Вечером после ужина смотрю друган надел штаны рубаху сланцы и пошёл, вернулся через час, смотрю че-то колдует на тумбочке,блендер достал, ну думаю наверное ужинать собрался (в диспанцсере кормили отвратительной капустой запах стоял до пятого этажа ). Тем временем друган достал чипсы пивас и залил всё это дело в блендер замешал себе бурду и давай заливать. Я глаза выпучил смотрю, он все это дело допил крякнул и сидит жизнь удалась, вот это я думаю да, человечище, даже в годину тяжелых испытаний не изменяет своим привычкам. Так что суть то в чем главное быть уверенным в том что ты будешь здоровым, быть на позитиве как этот друган.",нормально химия новый пока история онкология хирургия лежать перец рак гортань поставить трубка горло забыть называеться штука лежать двой первый день весь паника сидеть хирургия насмотреться друг говорить мычать ыгы эввееаай паника нагнать думать ладный протянуть вечером ужин смотреть другать надеть штаны рубаха сланец пойти вернуться час смотреть че колдовать тумбочка блендер достать думать наверное ужинать собраться диспанцсера кормить отвратительный капуста запах стоять пятый этаж время другать достать чипсы пивас залить всё это дело блендер замешать бурда давать заливать глаз выпучить смотреть это дело допить крякнуть сидеть жизнь удаться это думать человечище година тяжёлый испытание изменять свой привычка главное уверенный здоровый позитив другать
"Узнайте порядок набора групп для лечения новыми препаратами параллельно с химией, вдруг Ваш случай подходит. Добра, удачи, выздоровления",узнать порядок набор группа лечение новый препарат параллельно химия ваш случай подходить добро удача выздоровление
"Смысл жизни - в самой жизни. Нет ничего ценнее её. Все усилия и средства оправданы для победы над недугом. Это не игра где можно сохраниться и пройти уровень заново. Конец будет завершением мыслей и сознания, не получится больше увидеть рассвет, съесть вкусный завтрак, пообщаться с любимыми, с друзьями, поехать в путешествия да и много чего другого, что приносит счастье. Нет смысла сдаваться, так как это не даст никакого положительного результата, даже мифического облегчения, потому что облегчения не будет, только боль утраты у близких людей. Борись во что бы то ни стало. Никогда не сдавайся. Всё получится.",смысл жизнь жизнь ценный её усилие средство оправдать победа недуг это игра сохраниться пройти уровень заново конец завершение мысль сознание получиться увидеть рассвет съесть вкусный завтрак пообщаться любимый друг поехать путешествие приносить счастие смысл сдаваться это дать никакой положительный результат мифический облегчение облегчение боль утрата близкий человек бороться стать сдаваться всё получиться
"Не знаю поможет или нет, но сдаваться после стольких попыток - ну как минимум глупо. Покажи раку, что хуй ему, ты сильнее!",знать помочь сдаваться столько попытка минимум глупо показать рак хуй сильный
"Лучи добра и позитива! Ты большая умничка! У меня сестра третий год тоже борется с этой заразой! У вас всё будет хорошо, однозначно!!!",луч добро позитив больший умничка сестра третий год бороться зараза всё однозначно
Прожекторы батареи лучей добра по цели огонь! Капитан ДоброБобр доложить о результатах!Кап. ДБ - По цели нанесен массированный огонь на поражение печальных мыслей!,прожектор батарея луч добро цель огонь капитан добробобёр доложить результат кап дб цель нанести массировать огонь поражение печальный мысль
"Держись бро. Эту бочку говна надо съесть до дна. Хуже уже не будет, только лучше.",держаться бро бочка говно съесть дно плохой
"Слушай, подруга, а ты знаешь, что у тебя нихуёвые такие яйца? Вот и неси их с гордо поднятой головой, и не вздумай сдаться! Удачи тебе, и целый прожектор добра, чтобы освещал дорогу, если не к выздоровлению, то к стойкой ремиссии. Но лучше всё же к выздоровлению.",слушать подруга знать нихуёвый яйцо нести гордо поднять голова вздумать сдаться удача целый прожектор добро освещать дорога выздоровление стойка ремиссия всё выздоровление
Сама попросила -_-,попросить
Я буду держать за Вас кулачки! @@@,держать кулачок
"Кидаю бобро) У меня в отделе девушка пересилила это раковое. Удалили пол-щеки и пол-языка. Химию прошла, похудела. Но она боролась, в Спортклуб №1 ходила и работала. Ремиссия произошла. Потом снова поплохело и снова справилась. Красавица, муж, дочка. Лучший мой дизайнер в отделе. Ты тоже двигайся. Ещё раз Бобро)ПС : жена два раза ломала нос и перегородку. 6 лет ушло на ремонт, чтоб перестала не дышать и храпеть. И вообще слепая была, пока ей в МНТК Фёдорова не сделали глаза. 55 лет.",кидать бобро отдел девушка пересилить это раковый удалить пол щека пол язык химия пройти похуделый бороться спортклуб ходить работать ремиссия произойти снова поплохеть снова справиться красавица муж дочка хороший дизайнер отдел двигаться ещё бобро пс жена ломать нос перегородка год уйти ремонт перестать дышать храпеть вообще слепой пока мнтк фёдоров сделать глаз год
"Держись сестрёнка. Как то очень душевно. Давно ты получала удовольствие от услышанного. Меня сломил концерт в записи органной музыки. Советую. И не сдерживался если плакать захочется. Мне 36, мужик, трое пацанов, рыдал как младенец. Дальше будешь познавать себя заново. Целую. Держись.",держаться сестрёнка очень душевно давно получать удовольствие услышать сломить концерт запись органный музыка советовать сдерживаться плакать захотеться мужик трое пацан рыдать младенец далёкий познавать заново целый держаться
"Лучей добра, удачи и выздоровления тебе!",луч добро удача выздоровление
"Знаешь...6 раз повезло - вот и радуйсяЧуть больше года назад, моему отцу поставили диагноз нихождинская(вроде правильно написал) лимфома. Химии помогали, меньше чем через пол года он даже сам за рулем сидеть начал и можно сказать что начал бегать. После поражения в 75% внутренних органов(когда ложился на первую химию, из привычных 100 кг веса, у него было 64 и со слов врачей, 7кг это опухоль) у него ушло 93% опухоли. Все было хорошо. В декабре вернулся с очередной химии, которая должна была добитьопухоль...следующее обследование(пэт кт и прочее) ему назначили на 20 числа января...а 15 января он пожаловался на то, что голова сильно болит, с утра. В обед, лег поспать...а через пару часов, когда мать его разбудила, его с нами уже почти что небыло. Часть памяти отшибло, давление под 190, ходить не может. Сдали все анализы, отвезли в Ростов в онко центр, где он и лечился...сверх ранний рецедив, лимфома пошла в голову и сильное поражение мозга. Лечение - не существует. Вернулись домой, понимая что уже все....он меня с матерью то с трудом узнавал, не помнил как нас зовут но помнил кто мы. Потом кома и смерть...Так что - радуйся каждому, блять, дню и проводи его с родными и близкими. Ты можешь выжить - так стремись к этому и делай все возможное, чтобы родные запомнили тебя с улыбкой. Каждый день может быть последним. Так что реально - радуйся и живи. Надеюсь, все у тебя будет хорошо",знать повезти радуйсячуть год назад отец поставить диагноз нихождинской вроде правильно написать лимфома химия помогать маленький пол год руль сидеть начать сказать начать бегать поражение внутренний орган ложиться первый химия привычный кг вес слово врач кг это опухоль уйти опухоль декабрь вернуться очередной химия который должный добитьопухоль следующий обследование пэт кт прочее назначить число январь январь пожаловаться голова сильно болеть утро обед лечь поспать пара час мать разбудить небыть часть память отшибить давление ходить сдать анализ отвезти ростов онко центр лечиться сверх ранний рецедить лимфома пойти голова сильный поражение мозг лечение существовать вернуться домой понимать мать труд узнавать помнить звать помнить кома смерть радоваться каждый блядь день проводить родный близкий мочь выжить стремиться делать возможный родный запомнить улыбка каждый день последний реально радоваться живить надеяться
Сама сдалась психиатру за мед помощьюНадеюсь вы успели первой надеть халат?),сдаться психиатр мёд помощьюнадеяться успеть первый надеть халат
Спасибо вам ребят! И пинков дали и сил налили. Вы лучшие!!!,спасибо ребята пинок дать сила налить хороший
"Я вам так скажу. Вы сильный человек. Я работал с онкобольными, не каждый выдержит и 2 курса ХТ.6 лет вы боретесь. Не сдавались и не начинайте. Сходить к психиатру не слабость, а наоборот.Считайте это продолжением борьбы ведь как и вашему физическому здоровью требуется поддержка, так и ментальному.Все будет хорошо.",сказать сильный человек работать онкобольной каждый выдержать курс хт год бороться сдаваться начинать сходить психиатр слабость наоборот считать это продолжение борьба ваш физический здоровье требоваться поддержка ментальный
"Помоги тебе Господь и все святые.Солнышко достигает цели ,тот кто идет к ней.",помочь господь святой солнышко достигать цель идти
"После седьмого рецидива напиши книгу ""7 шагов к жизни"". Расскажи свою историю, она может помочь кому-то.",седьмой рецидив написать книга шаг жизнь рассказать история помочь
"Не сдавайся, все будет хорошо!",сдаваться
"Хватит ныть. С седьмой попытки точно победишь, прям как я экзамен на пдд",хватить ныть седьмой попытка точно победить прям экзамен пдд
"Ну вот сама прикинь, тебя здесь держат причем уже силой, хотя кто то пытается утащить. Еще не все дела сделаны, не пришло твое время. Рано еще, рано.",прикинуть держать причём сила хотя пытаться утащить дело сделать прийти твой время рано рано
Держитесь! Всё будет хорошо!,держаться всё
"Вот тебе пёс красивый, держитесь там, хорошего настроения✊",пёс красивый держаться хороший настроение
"Ты нужна только себе и самым близким людям. Живи каждый день для себя и дорогих для тебя людей. Каждый день - это событие, которое не повторится и проживи его так чтобы запомнить.",нужный самый близкие человек живить каждый день дорогой человек каждый день это событие который повториться прожить запомнить
"Держись , крепись , прорвись и всё будет збс =)",держаться крепиться прорваться всё збс
Удачи тебе!!!!,удача
"В этой партии,- мы все за вас!! Ждём от вас шах и мат болезни!!",партия ждать шах мат болезнь
"Бедная девочка, иди обниму",бедный девочка идти обнять
"Еще до СВО разговаривал в Якутии на вахте с американцем.У нас и из Африки работали и из Казахстана , много откуда. Может кто понял что за организация. Рукастый мужик, все умел. По его словам в США много тех, кто умеет своими руками и мотоцикл собрать и беседку красивую и тд и тп. Но много и тех, кто не то что беседку построить-даже обычные макароны сварить не сможет и лампочку вкрутить. Его батя научил, круг общения такой же. Кого то не научили. В России примерно так же становиться.",сво разговаривать якутия вахта американец африка работать казахстан откуда понять организация рукастый мужик уметь слово сша уметь свой рука мотоцикл собрать беседка красивый тд тп беседка построить обычный макароны сварить смочь лампочка вкрутить батя научить круг общение научить россия примерно становиться
как тебе такое Илон Ибн Маск!?,илона ибн маск
"Все мы умеем, у нас передача очумелые ручки была.А сланцы мы делаем из бутылок.",уметь передача очумелый ручка сланец делать бутылка
"В штатах не просто всё в сервис тащат, да мастербоя призывают.Там всё и вся должно быть застраховано.Вот ты поставил к примеру розетку сам, а надо дом страховать от пожара, либо страховая оверпрайс загнёт, либо сертификат от электрика затребует.А не застрахуешь, то могут и заругать.А полный пиздец, это когда был пожар, огонь перекинулся на соседа, у него выгорело, а страховки нет.Конечно я ситуацию за уши притянул, но общий посыл таков.",штат просто всё сервис тащить мастербой призывать всё весь должный застраховать поставить пример розетка дом страховать пожар либо страховой оверпрайс загнуть либо сертификат электрика затребовать застраховать мочь заругать полный пиздец это пожар огонь перекинуться сосед выгореть страховка ситуация ухо притянуть общий посыл таковой
"Ага,тоже всегда смешно было от того,что считается,что на западе все безрукие и даже лампочку сами ввернуть не могут.Однако,если у меня возникала проблема или с электровелом,или с мотопарапланом,да даже с автомобилем,именно в зарубежном сегменте интернета находилось масса DIY руководств по решению моих проблем.Все там нормально с руками и мозгами.",ага смешно считаться запад безрукий лампочка ввернуть мочь однако возникать проблема электровелом мотопараплан автомобиль именно зарубежный сегмент интернет находиться масса руководство решение проблема нормально рука мозг
"Пакистанец: Это что же, Аль-Задорни был прав?",пакистанец это аль задорни право
"Ну, АвтоВАЗ с вами не согласится.",автоваз согласиться
"Так то да. По факту в 90 все садили себе огород потом что невозможно было купить. Либо не было товара либо денег. А если все есть, то нахуя самому горбатится. Проще взять у того кто этим живет",факт садить огород невозможно купить либо товар либо деньга нахуй горбатиться простой взять это жить
