text,processed_text
"Есть какое-то ощущение нереальности, когда читаю как в комментариях хвалят человека за то, что он, будучи женатым, не снял проститутку. Как будто это что-то особенное, целый ""поступок"".И если бы мне коллеги такое рекомендовали при условии, что я женат, были бы посланы лесом. Это ж блин базовое самоуважение. Совсем, ну совсем базовое",ощущение нереальность читать комментарий хвалить человек женатый снять проститутка это особенный целый поступок коллега рекомендовать условие женатый послать лес это блин базовый самоуважение базовый
Правильно сделали! К черту сарказм и прочее. Нужно поддерживать такие семьи.,правильно сделать черта сарказм прочее нужно поддерживать семья
"Отличный гайд на тему ""жена из белоруссии дешевле проститутки"".Жене обязательно линкани",отличный гайда тема жена белоруссия дешёвый проститутка жена обязательно линкани
"Вообще то это нормально проводить время с близким человеком, а не хрен пойми с кем.Те кто спрашивал про проституток не нашли своего человека",вообще это нормально проводить время близкие человек хрен понять спрашивать проститутка наслать свой человек
"респект и уважение вам, автор! достойно!я никогда не пользовался платными услугами женщин и не понимаю зачем это нужно. я привыкаю быстро особенно когда такая близкая связь. Тоже предпочитаю стабильные понятные отношения. Сейчас я в разводе но с кем попало как попало не готов, не могу я так! и понимаю вас!!!!",респект уважение автор достойно пользоваться платный услуга женщина понимать это нужно привыкать быстро особенно близкий связь предпочитать стабильный понятный отношение развод попасть попасть готовый мочь понимать
"Такая же история. Сейчас во Владике в долгосрочной командировке, тоже на стройке. Недавно жена с дочкой прилетали на неделю.",история владик долгосрочный командировка стройка недавно жена дочка прилетать неделя
пиздец какой-то,пиздец
"Сейчас командировочные не снимают проституток,дорого. Они сидят на сз. Знакомятся на время командировки. Очень много таких.",командировочный снимать проститутка дорого сидеть сз знакомиться время командировка очень
"У жены бывают командировки на 2 месяца, тоже приезжаю к ней на выходные: и время с человеком провезти и город посмотреть.",жена бывать командировка месяц приезжать выходной время человек провезти город посмотреть
"""За цены сорян"" - а чё ты извиняешься, это ты с ними что-то сделал?",цена сорянин извиняться это сделать
14 комментов за 6 лет. С силой воли и выдержкой все в порядке. Держи лучи,коммент год сила воля выдержка порядок держать луч
"Тут ситуация простая, 6 лет он возвращается, 6 лет вы его побеждаете. Кто-то бы сломался на 2м, 3м году, но вы дЕржитесь.",ситуация простой год возвращаться год побеждать сломаться м м год держаться
"Фига ты мощная! Столько бороться! Ты не одна, мы за тебя з а тебя! Обнимаю крепко. Всё будет хорошо!",фига мощный столько бороться з обнимать крепко всё
Живи долго.,живить долго
"Смысл жизни - в самой жизни. Нет ничего ценнее её. Все усилия и средства оправданы для победы над недугом. Это не игра где можно сохраниться и пройти уровень заново. Конец будет завершением мыслей и сознания, не получится больше увидеть рассвет, съесть вкусный завтрак, пообщаться с любимыми, с друзьями, поехать в путешествия да и много чего другого, что приносит счастье. Нет смысла сдаваться, так как это не даст никакого положительного результата, даже мифического облегчения, потому что облегчения не будет, только боль утраты у близких людей. Борись во что бы то ни стало. Никогда не сдавайся. Всё получится.",смысл жизнь жизнь ценный её усилие средство оправдать победа недуг это игра сохраниться пройти уровень заново конец завершение мысль сознание получиться увидеть рассвет съесть вкусный завтрак пообщаться любимый друг поехать путешествие приносить счастие смысл сдаваться это дать никакой положительный результат мифический облегчение облегчение боль утрата близкий человек бороться стать сдаваться всё получиться
"Не знаю поможет или нет, но сдаваться после стольких попыток - ну как минимум глупо. Покажи раку, что хуй ему, ты сильнее!",знать помочь сдаваться столько попытка минимум глупо показать рак хуй сильный
"Держись сестрёнка. Как то очень душевно. Давно ты получала удовольствие от услышанного. Меня сломил концерт в записи органной музыки. Советую. И не сдерживался если плакать захочется. Мне 36, мужик, трое пацанов, рыдал как младенец. Дальше будешь познавать себя заново. Целую. Держись.",держаться сестрёнка очень душевно давно получать удовольствие услышать сломить концерт запись органный музыка советовать сдерживаться плакать захотеться мужик трое пацан рыдать младенец далёкий познавать заново целый держаться
"Лучей добра, удачи и выздоровления тебе!",луч добро удача выздоровление
"Знаешь...6 раз повезло - вот и радуйсяЧуть больше года назад, моему отцу поставили диагноз нихождинская(вроде правильно написал) лимфома. Химии помогали, меньше чем через пол года он даже сам за рулем сидеть начал и можно сказать что начал бегать. После поражения в 75% внутренних органов(когда ложился на первую химию, из привычных 100 кг веса, у него было 64 и со слов врачей, 7кг это опухоль) у него ушло 93% опухоли. Все было хорошо. В декабре вернулся с очередной химии, которая должна была добитьопухоль...следующее обследование(пэт кт и прочее) ему назначили на 20 числа января...а 15 января он пожаловался на то, что голова сильно болит, с утра. В обед, лег поспать...а через пару часов, когда мать его разбудила, его с нами уже почти что небыло. Часть памяти отшибло, давление под 190, ходить не может. Сдали все анализы, отвезли в Ростов в онко центр, где он и лечился...сверх ранний рецедив, лимфома пошла в голову и сильное поражение мозга. Лечение - не существует. Вернулись домой, понимая что уже все....он меня с матерью то с трудом узнавал, не помнил как нас зовут но помнил кто мы. Потом кома и смерть...Так что - радуйся каждому, блять, дню и проводи его с родными и близкими. Ты можешь выжить - так стремись к этому и делай все возможное, чтобы родные запомнили тебя с улыбкой. Каждый день может быть последним. Так что реально - радуйся и живи. Надеюсь, все у тебя будет хорошо",знать повезти радуйсячуть год назад отец поставить диагноз нихождинской вроде правильно написать лимфома химия помогать маленький пол год руль сидеть начать сказать начать бегать поражение внутренний орган ложиться первый химия привычный кг вес слово врач кг это опухоль уйти опухоль декабрь вернуться очередной химия который должный добитьопухоль следующий обследование пэт кт прочее назначить число январь январь пожаловаться голова сильно болеть утро обед лечь поспать пара час мать разбудить небыть часть память отшибить давление ходить сдать анализ отвезти ростов онко центр лечиться сверх ранний рецедить лимфома пойти голова сильный поражение мозг лечение существовать вернуться домой понимать мать труд узнавать помнить звать помнить кома смерть радоваться каждый блядь день проводить родный близкий мочь выжить стремиться делать возможный родный запомнить улыбка каждый день последний реально радоваться живить надеяться
Сама сдалась психиатру за мед помощьюНадеюсь вы успели первой надеть халат?),сдаться психиатр мёд помощьюнадеяться успеть первый надеть халат
"После седьмого рецидива напиши книгу ""7 шагов к жизни"". Расскажи свою историю, она может помочь кому-то.",седьмой рецидив написать книга шаг жизнь рассказать история помочь
"Хватит ныть. С седьмой попытки точно победишь, прям как я экзамен на пдд",хватить ныть седьмой попытка точно победить прям экзамен пдд
"Ну вот сама прикинь, тебя здесь держат причем уже силой, хотя кто то пытается утащить. Еще не все дела сделаны, не пришло твое время. Рано еще, рано.",прикинуть держать причём сила хотя пытаться утащить дело сделать прийти твой время рано рано
Держитесь! Всё будет хорошо!,держаться всё
"Ты нужна только себе и самым близким людям. Живи каждый день для себя и дорогих для тебя людей. Каждый день - это событие, которое не повторится и проживи его так чтобы запомнить.",нужный самый близкие человек живить каждый день дорогой человек каждый день это событие который повториться прожить запомнить
"Держись , крепись , прорвись и всё будет збс =)",держаться крепиться прорваться всё збс
Удачи тебе!!!!,удача
"Еще до СВО разговаривал в Якутии на вахте с американцем.У нас и из Африки работали и из Казахстана , много откуда. Может кто понял что за организация. Рукастый мужик, все умел. По его словам в США много тех, кто умеет своими руками и мотоцикл собрать и беседку красивую и тд и тп. Но много и тех, кто не то что беседку построить-даже обычные макароны сварить не сможет и лампочку вкрутить. Его батя научил, круг общения такой же. Кого то не научили. В России примерно так же становиться.",сво разговаривать якутия вахта американец африка работать казахстан откуда понять организация рукастый мужик уметь слово сша уметь свой рука мотоцикл собрать беседка красивый тд тп беседка построить обычный макароны сварить смочь лампочка вкрутить батя научить круг общение научить россия примерно становиться
как тебе такое Илон Ибн Маск!?,илона ибн маск
"Все мы умеем, у нас передача очумелые ручки была.А сланцы мы делаем из бутылок.",уметь передача очумелый ручка сланец делать бутылка
"В штатах не просто всё в сервис тащат, да мастербоя призывают.Там всё и вся должно быть застраховано.Вот ты поставил к примеру розетку сам, а надо дом страховать от пожара, либо страховая оверпрайс загнёт, либо сертификат от электрика затребует.А не застрахуешь, то могут и заругать.А полный пиздец, это когда был пожар, огонь перекинулся на соседа, у него выгорело, а страховки нет.Конечно я ситуацию за уши притянул, но общий посыл таков.",штат просто всё сервис тащить мастербой призывать всё весь должный застраховать поставить пример розетка дом страховать пожар либо страховой оверпрайс загнуть либо сертификат электрика затребовать застраховать мочь заругать полный пиздец это пожар огонь перекинуться сосед выгореть страховка ситуация ухо притянуть общий посыл таковой
"Пакистанец: Это что же, Аль-Задорни был прав?",пакистанец это аль задорни право
"Так то да. По факту в 90 все садили себе огород потом что невозможно было купить. Либо не было товара либо денег. А если все есть, то нахуя самому горбатится. Проще взять у того кто этим живет",факт садить огород невозможно купить либо товар либо деньга нахуй горбатиться простой взять это жить
Взгляд с другой стороны. Универсальные навыки нарабатываются не от лёгкой жизни.,взгляд сторона универсальный навык нарабатываться лёгкий жизнь
Неужели наконец нормальный ответ... На самом деле то что у нас офтальмолог умеет строить забор... Это говорит только о том что врачи мало получают,неужели нормальный ответ дело офтальмолог уметь строить забор это говорить врач мало получать
"Я помню как-то видел видос, как пакистанцы из севера, где племена живут, из каких-то консервных банок, говна и палок с помощью напильников и каких-то гаражных инструментов собирают автоматы. Вероятно, качество стремиться к нулю, но все равно стреляет! Вот кто выживет при апокалипсисе",помнить видеть видос пакистанец север племя жить консервный банка говно палка помощь напильник гаражный инструмент собирать автомат вероятно качество стремиться нуль равно стрелять выжить апокалипсис
"В таких случаях Пакистанцы про свою страну говорят- этот народ не победить! Особенно каким-то там индусам (другим это вообще не надо).Я пакистанец, я иду до концаЯ пакистанец, моя кровь от отца,Я пакистанец, и мне повезлооооооууууЯ пакистанец всему миру назло!",случай пакистанец страна говорить народ победить особенно индус это вообще пакистанец идти концай пакистанец кровь отец пакистанец повезлооооооуууовать пакистанец весь мир назло
Зато лебедей умеют из покрышек делать,зато лебедь уметь покрышка делать
"Смншно что пакистанцы в лучшем случае владеют паой операций зачастую. То есть там обучение как у ремемлеников 17го века. Зачастую они делают эти операции без понимания что и зачем))Есть там и те кто шарит, но они занимаются более серьезными вещами, чем сандали из покрышек))",смншный пакистанец хороший случай владеть паий операция зачастую обучение ремемленик го век зачастую делать операция понимание шарить заниматься серьёзный вещь сандали покрышка
"Боже, точнее и не подберешь аллегорию",бог точнее подобрать аллегория
на этом комментарии можно эту волну заканчивать. никто точнее и лучше уже не скажет,комментарий волна заканчивать никто точнее сказать
"Если стёб, то ОК. А если нет, то получается подмена понятий. Неумение что-то делать и невозможность что-то делать самому разные вещи. Тут Америка ни при чем. Так везде по миру. И делятся люди примерно так:- не умеет и зовёт на помощь;- умеет, но сам не полезет ввиду обстоятельств;- умеет и сам все делает;- умеет, но впадлу самому делать и зовет на помощь.",стёб около получаться подмена понятие неумение делать невозможность делать разный вещь америка везде мир делиться человек примерно уметь звать помощь уметь полезть ввиду обстоятельство уметь делать уметь впадло делать звать помощь
"Это мне напоминает бабок у подъезда ""раньше в поле рожали"", "" в речке стирали"", ""неправильно ты швабру держишь"". Скажи таким, что есть гаджеты и клининг или доставка еды, обязательно начнут пиздеть, что у кого-то там жена ничего не умеет.",это напоминать бабка подъезд ранний поле рожать речка стирать неправильно швабра держать сказать гаджет клининга доставка еда обязательно начать пиздеть жена уметь
"Так мы и не ноем, что вёдра и сланцы дорого стоят.",ной ведро сланец дорого стоять
Готовить еду из крыс тоже не умеют в антисанитарии,готовить еда крыса уметь антисанитария
сравнение максимально тупое.мужик должен уметь базовые вещи.иначе мужика облапошат на деньги.банальный пример:у друга комп начал вырубаться в синий экран.пришёл мастер и начал ему гнуть цены..он его послал и позвонил мне..в итоге там банально жд полетел.мы его поменяли и всё работает.но как у меня полетела сетевуха я пошёл в сервис и мне перепаяли чип за 800р с работой.(это дешевле чем покупать паяльную станцию и ждать чип непойми какого качества с Китая.),сравнение максимально тупой мужик должный уметь базовый вещь иначе мужик облапошить деньга банальный пример друг комп начать вырубаться синий экран прийти мастер начать гнуть цена послать позвонить итог банально жд полететь поменять всё работать полететь сетевуха пойти сервис перепаять чип р работа это дешёвый покупать паяльный станция ждать чип непонять качество китай
Всё мы умеем,всё уметь
"Умеют, но вот нахуя, если купить дешевле?",уметь нахуй купить дешёвый
Свежецивилизованные до слез ущемились за своих хозяев и немедленно бросились отстаивать их честь.,свежецивилизовать слеза ущемиться свой хозяин немедленно броситься отстаивать честь
"Не надо тут ляля, не только сланцы из старых покрышек могем сделать, но и лебедей.",ляля сланец старый покрышка могем сделать лебедь
"Согласен. Пиздеть не надо на них. Американцы очень работящие, для них работа это все. От того где и кем ты работаешь сразу понятно становится какая у тебя машина, дом, жена, где дети учатся.",согласный пиздеть американец очень работящий работа это работать сразу понятно становиться машина дом жена ребёнок учиться
"У меня есть знакомый (житель США не в первом поколении) и у нас был разговор на эту тему. Ну и вопрос конечно был примерно такой: а вы что, действительно не можете поменять сами розетку в доме? Починить какой то прибор при очевидной и небольшой поломке, сами покосить себе траву или поставить забор и т.п. На что он мне ответил, что дело не в умении, что в любой теме можно разобраться и сделать своими руками и если оно тебе нравится то так и стоит делать, но мастер-электрик сделает быстрее, надежнее, профессиональнее, как и профессионал плотник или садовник. Если человек в этом специалист, он сэкономит твое время и нервы, не придется ездить в магазин за материалами, не придется покупать инструменты, которые будут нужны только для одного ремонта, и это время можно провести в походе или на пикнике с семьей, можно посмотреть любимый фильм или провести время в каком то сообществе (у них там много всяких кружков по интересам, фильмы, музыка и т.п.). А человек выполнивший работу, заработает деньги за свой труд и у него всегда будут заказы, а значит когда тебе понадобится электрик/садовник/сантехник они будут рядом, готовые к работе, а не придется их искать или ждать несколько дней. Так что это философия жизни, а не тупость.",знакомый житель сша первый поколение разговор тема вопрос примерно действительно мочь поменять розетка дом починить прибор очевидный небольшой поломка покосить трава поставить забор п ответить дело умение любой тема разобраться сделать свой рука оно нравиться стоить делать мастер электрик сделать быстрый надёжный профессиональный профессионал плотник садовник человек специалист сэкономить твой время нерв прийтись ездить магазин материал прийтись покупать инструмент который нужный ремонт это время провести поход пикник семья посмотреть любимый фильм провести время сообщество всякий кружок интерес фильм музыка п человек выполнить работа заработать деньга свой труд заказ значит понадобиться электрик садовник сантехник рядом готовый работа прийтись искать ждать несколько день это философия жизнь тупость
"Ох) я работал в Иркутск автодоре… ну как работал.. месяц.. свалил оттуда в ахуе, хотя я очень терпеливый, за 17 летний стаж работы, сменил только две организации. Автодор был третьей. Был водителем КАМАЗа.. ну как водителем.. ремонтником. Потому что за месяц камаз отработал три дня, все остальное ремонт. Ремонт оплачивается 100 рублей в час.Запчастей нет, всем на все пофиг, все тебя гоняют туда-сюда, ни от кого ничего не добьешься. Обещали зарплату от 80ти. В итоге, мужики получают в районе 50ти. Условий труда никаких. Работают, в основном, пенсионеры, либо те, кому осталось до пенсии дотянуть немного. Зато теперь я прекрасно понимаю, почему у нас дороги не чистятся и снег не убирается. За месяц накопилось достаточно историй",ох работать иркутск автодора работать месяц свалить оттуда ахуй хотя очень терпеливый летний стаж работа сменить организация автодора третий водитель камаз водитель ремонтник месяц камаз отработать день остальной ремонт ремонт оплачиваться рубль час запчасть весь пофига гонять туда сюда добиться обещать зарплата ти итог мужик получать район ти условие труд никакой работать основное пенсионер либо остаться пенсия дотянуть немного зато прекрасно понимать почему дорога чиститься снег убираться месяц накопиться достаточно история
"К коллективу предприятия я не пойду, если им надо — пусть выходят сюда».Типичный пидор ебаный.",коллектив предприятие пойти пусть выходить сюда типичный пидор ёбаный
"Надо же, где-то люди не позволили вытирать о себя ноги",человек позволить вытирать нога
"Как бы это не звучало, но это хороший прецендент. Ситуация говно, конечно.",это звучать это хороший прецендент ситуация говно
"Работал в подобной шараге, директор об рабочих ноги вытирал матом крыл, зарплату платил не вовремя, но мужики терпели, работали.",работать подобный шарага директор рабочий нога вытирать мат крыло зарплата платить вовремя мужик терпеть работать
Красавчики!,красавчик
"Ремонт за свой счёт, его надо пиждить за это бесконечно, а потом продать его квартиру",ремонт свой счёт пиждить это бесконечно продать квартира
"Около прорабской толпятся рабочие — шумят, руками размахивают. Выходит прораб, говорит:— Пусть кто-нибудь один выйдет, и говорит.Крики из толпы:— Петрович! Пусть Петрович скажет!Выходит вперёд Петрович. Немного мнётся, собирается с мыслями, шмякает подшлемник о землю:— Как еб твою мать, так бля пиздец, а как ебаный в рот, так ни хуя!Из толпы голос:— Правильно, Петрович! Пока рукавицы не выдадут - работать не будем!",около прорабский толпиться рабочий шуметь рука размахивать выходить прораб говорить пусть выйти говорить крик толпа петрович пусть петрович сказать выходить вперёд петрович немного мяться собираться мысль шмякать подшлемник земля еб твой мать бля пиздец ёбаный рот хуй толпа голос правильно петрович пока рукавица выдать работать
"Водители и механизаторы остановили технику, диспетчеры прекратили работу, а офисные сотрудники покинули свои рабочие местаЯ один не понимаю что это? Тут же 4 разные касты. Насколько знаю, никогда конторские не впрягались за рабочих. Плюс ко всему, сами специальности рабочих, не особо располагают к дружбе. И поэтому эта фраза звучит, как будто все просто закончили свой рабочий день и поёбали домой",водитель механизатор остановить техника диспетчер прекратить работа офисный сотрудник покинуть свой рабочий местая понимать это разный каста насколько знать конторский впрягаться рабочий плюс весь специальность рабочий особо располагать дружба поэтому фраза звучать просто закончить свой рабочий день поёбали домой
Даешь профсоюз!,давать профсоюз
Булыжник — оружие пролетариата,булыжник оружие пролетариат
"Работники неоднократно жаловались на нарушения трудовых прав, в частности, нанеобходимость ремонтировать технику предприятия за свой счёт и покупать рабочий инвентарь.Встречаются два начальника:- Ты своим заводчанам зарплату выдаешь?- Нет.- И я нет. А они все равно на работу ходят?- Ходят.- И мои ходят. Может, вход платный сделаем?...Вход сделали платным. Проходит неделя.- Ну как, твои еще на работу ходят?- Ага, тока экономят, сволочи!!!- ?!- В понедельник приходят, а в пятницу уходят…Я думал это анекдот.",работник неоднократно жаловаться нарушение трудовой право частность нанеобходимость ремонтировать техника предприятие свой счёт покупать рабочий инвентарь встречаться начальник свой заводчан зарплата выдавать равно работа ходить ходить ходить вход платный сделать вход сделать платный проходить неделя твой работа ходить ага ток экономить сволочь понедельник приходить пятница уходить думать это анекдот
"Нарушение ТК РФ явное.Берёзкина премировать за бдительность - не стал заходить в здание, аниикоаидные законы ещё не отменены!!!Так держать Берёзкин.На организаторов массового скопления людей и создание толпы способствующих распростронение ко видной инфекции.На и каждого административку, штраф 5000 рублей и само изоляцию под надзором полиции без сохранения содержания!!!!",нарушение тк рф явный берёзкин премировать бдительность стать заходить здание аниикоаидный закон ещё отменить держать берёзкин организатор массовый скопление человек создание толпа способствовать распростронение видный инфекция каждый административка штраф рубль изоляция надзор полиция сохранение содержание
"Теперь понятно, почему хозяев заводов на вилы поднимали и жгли вместе с семьями в 1917 году. И название им народ дал верное-МИРОЕДЫ.",понятно почему хозяин завод вилы поднимать жечь вместе семья год название народ дать верный мироед
"Родная Смоленская область. Зарплаты так себе (если сравнивать с пикабушными), условия работы и правда не ахти. Только профсоюза у нас нет.",родный смоленский область зарплата сравнивать пикабушной условие работа правда ахти профсоюз
"Выскажу мб непопулярное мнение, но требовать надо не улучшение условий, а смену руководство, с которым эти условия уже обсуждать. Текущее уже, скорее всего сознательно, пришло к текущей модели. И вряд ли хочет ее менять. Это их корова и они ее доют. Ок, могут пойти на уступки. Но дальше существует вероятность, что самых активных тихо уберут, гайки подзакрутят, ну и неспеша вернут прежние условия. Опять же, кто без рыльца в пуху? Все сотрудники образцовые? Проверочки, тесты и прочее, скелеты в шкафу, договоренности - и вот уже часть (в том числе из заводил) переходит в слабую позицию и возврат к текущей модели для них как подарок",высказать мб непопулярный мнение требовать улучшение условие смена руководство который условие обсуждать текущий скорее сознательно прийти текущий модель вряд хотеть менять это корова дыть около мочь пойти уступка далёкий существовать вероятность самый активный тихо убрать гайка подзакрутить неспешить вернуть прежний условие рыльце пух сотрудник образцовый проверочка тест прочее скелет шкаф договорённость часть число заводить переходить слабый позиция возврат текущий модель подарок
Профсоюз уже давно задвинули в правительстве в угоду работодателей и подточили законы в госдуме.Профсоюз мертв в РФ.,профсоюз давно задвинуть правительство угода работодатель подточить закон госдума профсоюз мёртвый рф
"Не первый раз, шахтеры так делали",первый шахтёр делать
Как правило все эти директора конченые люди не знающие что такое быть обычным рабочим,правило директор конченый человек знающий обычный рабочий
Охранота дружно прибежала перекрывать Новочеркасском. Напомню что причиной волнений стало повышение цен. Что там у нас с ценами последние 30 лет кстати?,охранота дружно прибежать перекрывать новочеркасский напомнить причина волнение стать повышение цена цена последний год кстати
"Ну что, почалося?))",почалось
"Уточните оно государево или частникСудя по всему государево. Ну так прокуратура, нарушение кзота",уточнить оно государев частниксудить весь государев прокуратура нарушение кзот
"Нихуя себе,это же как нужно охуеть, чтобы заставлять человека,который тебе деньги зарабатывает, покупать инструмент и ремонтировать технику за свой счёт....",нихуй это нужно охуеть заставлять человек который деньга зарабатывать покупать инструмент ремонтировать техника свой счёт
Ремонт техники за свой счет это как?) не понимаю,ремонт техника свой счёт это понимать
а чтотак можно было что ли,чтотак
"Красавцы! Вот для чего был придуман профсоюз. Объединение рабочего класса, чтобы отстаивать свои права. Вот это профсоюз здорового человека, в который и членские взносы засылать не жалко. Молодцы, так держать! Боритесь! Вы им нужнее, чем они вам",красавец придумать профсоюз объединение рабочий класс отстаивать свой право это профсоюз здоровый человек который членский взнос засылать жалко молодец держать бороться нужный
Не уж то началось!,начаться
"если взять туарегов - народ, исповедующий ислам суннитского толка, то у них лицо взрослого мужчины может видеть только жена, которая сама не закрывает лицо хDЕсть тут религиоведы, которые объяснят чзх?",взять туарег народ исповедовать ислам суннитский толк лицо взрослый мужчина видеть жена который закрывать лицо хбыть религиовед который объяснить чзх
"У некоторых видны кисти рук, вот же шлюхи",некоторый видный кисть рука шлюха
"Это настолько серьезная шутка, что пост снесут скорее всего через 5 минут",это настолько серьёзный шутка пост снести скорее минута
Бомбическая шутка,бомбический шутка
"Не могу понять, где здесь шутка, ну чурка есть чурка, вот смотри есть 05 регион и чуть что они всех готовы ебать, странный народ. Вот им говоришь что он ослоёб он. Обижаются, а вот оно не просто так прилипает к нации, как например к циганам что они конокрады, а эти чурки и они чурки, а почему обижаются?",мочь понять шутка чурка чурка смотреть регион готовый ебать странный народ говорить ослоести обижаться оно просто прилипать нация например циган конокрад чурка чурка почему обижаться
"Неплохо, я бы сказала, очень даже недурственно.",неплохо сказать очень недурственный
Дырки от бубликов,дырка бубликовый
"приходят люди в никабах группой на нудистский пляж, а там люди только в черных очках",приходить человек никаба группа нудистский пляж человек чёрный очки
"Было бы смешно, если бы не было правдой🤦",смешно правда
"О, москвичи",москвич
"Это нифига не смешно. А помните не так давно говорили: ""Хотите как в европе?"" Я ещё тогда спрашивал у таких, у нас то что сильно иначе? Теперь хлебаем по полной. Ну может до европы ещё не докатились, но несёмся в ту же сторону на всех парах. Под руководством гаранта, который у власти уже не первый десяток лет. И видимо эту проблему решать особо не намерен. Хотя она уже перезрела в нарыв и вот вот рванёт. Вроде некоторые от власти типа Бастрыкина чет начинают на эту тему вещать и вроде какие то подвижки вроде как начались. Но всё это напоминает иммитацию бурной деятельности с нулевым результатом. Может я ошибаюсь, будем посмотреть. Но прогнозы у мну тревожные.",это нифига смешно помнить давно говорить хотеть европа ещё спрашивать сильно иначе хлебать полный европа ещё докатиться нестись сторона пара руководство гарант который власть первый десятка год видимо проблема решать особо намеренный хотя перезрелый нарыв рвануть вроде некоторый власть тип бастрыкин чета начинать тема вещать вроде подвижка вроде начаться всё это напоминать иммитация бурный деятельность нулевой результат ошибаться посмотреть прогноз мять тревожный
"борода есть/усов нет - значит есть повод как минимум прошманать (включая проверку телефона), а лучше на 15 суток закрыть от греха подальше",борода усов значит повод минимум прошманать включая проверка телефон сутки закрыть грех далёкий
Ахахахаххах,ахахахахха
"Чернушно, но смешно)",чернушный смешно
Назгулы...блин,назгул блин
"Баян, но ещё актуально",баян ещё актуально
Удялит через 3...2..1...,удялита
Одну шепнул и муж дэанолнился))),шепнуть муж дэанолниться
"- выбираю категорию ""любовницы Куклачёва"" за 500- и вам попался кот в мешке!",выбирать категория любовница куклачёв попасться кот мешок
"Спор заведомо бесплоден,Спорят викинг и раввин:Бог один, и он не Один –Один – бог, и не один...Раввин и викинг в жарком спореСошлись на том, что сила в Торе!",спор заведомо бесплодный спорить викинг раввин бог бог раввин викинг жаркий споресойтись сила тора
"В советском союзе была шутка: и евреи и наркоманы хотят попасть в вену.Для справки - т.к. дипотношений у СССР с Израилем не было, репатриация евреев проходила через Австрию (Вена) некоторые я так понимаю оттуда не в Израиль а в штаты сразу ехали",советский союз шутка еврей наркоман хотеть попасть вена справка дипотношение ссср израиль репатриация еврей проходить австрия вена некоторый понимать оттуда израиль штат сразу ехать
Вопрос за 300,вопрос
"Что-то не догнал, а что за закладки в торе у наркоманов?",догнать закладка тора наркоман
А чем они тогда различаются?,различаться
"Можно бригаду?Тор - фигура геометрическая, как в ней может быть закладка?",бригада тор фигура геометрический закладка
А ещё охуительные истории к своему приходу,ещё охуительный история свой приход
Сначала не понял а потом как понял XD,сначала понять понять
чё такое 7:40?,
Даже звуки из игры в голове по картинкам воспроизводится,звук игра голова картинка воспроизводиться
Веселящий газ может ещё?,веселить газ ещё
Йохан Львович,йохан львович
Шутка ржачная,шутка ржачный
"Вообще нихуа не понял.. сплошная, мерзкая хуцпа, одним словом.",вообще нихуа понять сплошной мерзкий хуцп слово
рки проч от тороидальных трансформаторов!,рки проч тороидальный трансформатор
Прям слышу его голос)),прям слышать голос
"Закладки в телеграмм делают. Знакомый есть который в теме, объяснял.",закладка телеграмма делать знакомый который тема объяснять
"Какой там сайт сейчас, вместо гидры?",сайт вместо гидра
Разве не 4:40?,
"а какой предполагался ответ, если этот неправильный?",предполагаться ответ неправильный
А что такое тора?,тор
"Племянник с ними столкнулся сами знаете где, говорит - ребята без страха и упрека. В рацию по-деловому сообщают: мы окружены, идём на прорыв. И чешут без всякой паники.",племянник столкнуться знать говорить ребята страх упрёк рация деловой сообщать окружить идти прорыв чесать всякий паника
Праведность из плоти и крови - это очень сильно!,праведность плоть кровь это очень сильно
"Ну блин, а что они могли ещё оставить на память, как поблагодарить? Умницы, молодцы ребята! И спасибо их стране за плечо в трудный момент!",блин мочь ещё оставить память поблагодарить умница молодец ребята спасибо страна плечо трудный момент
